Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
ES CCGT Generators			Save Blocks	2010-01-01	2100-01-01	0							
ES Hard Coal Generators			Save Blocks	2010-01-01	2100-01-01	0							
ES Nuclear Generators			Save Blocks	2010-01-01	2100-01-01	0							
ES Gas Generators			Save Blocks	2010-01-01	2100-01-01	0							
PT CCGT Generators			Save Blocks	2010-01-01	2100-01-01	0							
PT Hard Coal Generators			Save Blocks	2010-01-01	2100-01-01	0							
PT Nuclear Generators			Save Blocks	2010-01-01	2100-01-01	0							
PT Gas Generators			Save Blocks	2010-01-01	2100-01-01	0							
FR CCGT Generators			Save Blocks	2010-01-01	2100-01-01	0							
FR Hard Coal Generators			Save Blocks	2010-01-01	2100-01-01	0							
FR Nuclear Generators			Save Blocks	2010-01-01	2100-01-01	0							
FR Gas Generators			Save Blocks	2010-01-01	2100-01-01	0							
FR Onshore Generators			Save Blocks	2010-01-01	2100-01-01	0							
ES Onshore Generators			Save Blocks	2010-01-01	2100-01-01	0							
PT Onshore Generators			Save Blocks	2010-01-01	2100-01-01	0							
FR Solar Generators			Save Blocks	2010-01-01	2100-01-01	0							
ES Solar Generators			Save Blocks	2010-01-01	2100-01-01	0							
PT Solar Generators			Save Blocks	2010-01-01	2100-01-01	0							
DE CCGT Generators			Save Blocks	2010-01-01	2100-01-01	0							
DE Hard Coal Generators			Save Blocks	2010-01-01	2100-01-01	0							
DE Nuclear Generators			Save Blocks	2010-01-01	2100-01-01	0							
DE Gas Generators			Save Blocks	2010-01-01	2100-01-01	0							
DE Onshore Generators			Save Blocks	2010-01-01	2100-01-01	0							
DE Solar Generators			Save Blocks	2010-01-01	2100-01-01	0							
UK CCGT Generators			Save Blocks	2010-01-01	2100-01-01	0							
UK Hard Coal Generators			Save Blocks	2010-01-01	2100-01-01	0							
UK Nuclear Generators			Save Blocks	2010-01-01	2100-01-01	0							
UK Gas Generators			Save Blocks	2010-01-01	2100-01-01	0							
UK Onshore Generators			Save Blocks	2010-01-01	2100-01-01	0							
UK Solar Generators			Save Blocks	2010-01-01	2100-01-01	0							
ES-FR	ES	FR	Capacity	2010-01-01	2100-01-01	Line_Capacity_File	NonCoopMarket	Multiply					
FR-ES	FR	ES	Capacity	2010-01-01	2100-01-01	Line_Capacity_File	NonCoopMarket	Multiply					
BE-FR	BE	FR	Capacity	2010-01-01	2100-01-01	Line_Capacity_File							
FR-BE	FR	BE	Capacity	2010-01-01	2100-01-01	Line_Capacity_File							
DEs-FR	DEs	FR	Capacity	2010-01-01	2100-01-01	Line_Capacity_File							
FR-DEs	FR	DEs	Capacity	2010-01-01	2100-01-01	Line_Capacity_File							
DEn-NL	DEn	NL	Capacity	2010-01-01	2100-01-01	Line_Capacity_File							
NL-DEn	NL	DEn	Capacity	2010-01-01	2100-01-01	Line_Capacity_File							
