Start Time	2010-01-01	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
End Time	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01
DE Onshore 2886 BR 52.0 13.125 70M Generator NWST	322.6956753	329.2813013	336.0013279	342.8584979	349.8556101	356.9955205	364.2811433	371.7154524	379.301482	387.0423286	394.9411516	403.0011751	400.1396966	396.0262562	386.8278572	404.4862152	416.2564371	467.7266873	481.2998686	493.2427515	496.5013671	478.7203291	458.26213	439.9388972	424.7750835	409.8640002	398.7656976	388.0874609	376.5724489	364.9479985	353.6047152	346.1329256	338.6860018	332.1013713	324.9552846	319.263158	312.437856	304.8941715	297.3282457	288.9592036	279.4636586	268.8879251	257.8382079	245.468346	232.3669305	217.1793745	201.263166	185.0439537	168.2920188	151.0021669	133.0387056	114.811423	95.94006278	76.44706107	56.35425637	35.68283709	14.45329869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 2977 BR 52.5 14.375 70M Generator NWST	322.6956753	329.2813013	336.0013279	342.8584979	349.8556101	356.9955205	364.2811433	371.7154524	379.301482	387.0423286	394.9411516	403.0011751	400.1396966	396.0262562	386.8278572	404.4862152	416.2564371	467.7266873	481.2998686	493.2427515	496.5013671	478.7203291	458.26213	439.9388972	424.7750835	409.8640002	398.7656976	388.0874609	376.5724489	364.9479985	353.6047152	346.1329256	338.6860018	332.1013713	324.9552846	319.263158	312.437856	304.8941715	297.3282457	288.9592036	279.4636586	268.8879251	257.8382079	245.468346	232.3669305	217.1793745	201.263166	185.0439537	168.2920188	151.0021669	133.0387056	114.811423	95.94006278	76.44706107	56.35425637	35.68283709	14.45329869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 3062 BR 53.0 11.875 70M Generator NWST	322.6956753	329.2813013	336.0013279	342.8584979	349.8556101	356.9955205	364.2811433	371.7154524	379.301482	387.0423286	394.9411516	403.0011751	400.1396966	396.0262562	386.8278572	404.4862152	416.2564371	467.7266873	481.2998686	493.2427515	496.5013671	478.7203291	458.26213	439.9388972	424.7750835	409.8640002	398.7656976	388.0874609	376.5724489	364.9479985	353.6047152	346.1329256	338.6860018	332.1013713	324.9552846	319.263158	312.437856	304.8941715	297.3282457	288.9592036	279.4636586	268.8879251	257.8382079	245.468346	232.3669305	217.1793745	201.263166	185.0439537	168.2920188	151.0021669	133.0387056	114.811423	95.94006278	76.44706107	56.35425637	35.68283709	14.45329869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 3064 BR 53.0 13.125 70M Generator NWST	322.6956753	329.2813013	336.0013279	342.8584979	349.8556101	356.9955205	364.2811433	371.7154524	379.301482	387.0423286	394.9411516	403.0011751	400.1396966	396.0262562	386.8278572	404.4862152	416.2564371	467.7266873	481.2998686	493.2427515	496.5013671	478.7203291	458.26213	439.9388972	424.7750835	409.8640002	398.7656976	388.0874609	376.5724489	364.9479985	353.6047152	346.1329256	338.6860018	332.1013713	324.9552846	319.263158	312.437856	304.8941715	297.3282457	288.9592036	279.4636586	268.8879251	257.8382079	245.468346	232.3669305	217.1793745	201.263166	185.0439537	168.2920188	151.0021669	133.0387056	114.811423	95.94006278	76.44706107	56.35425637	35.68283709	14.45329869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 3151 MV 53.5 11.875 70M Generator NWST	337.0860451	343.9653521	350.9850532	358.1480134	365.4571566	372.9154659	380.5259856	388.2918221	396.216145	404.3021887	412.5532538	420.972708	447.0499584	428.6971658	419.3663974	444.9479594	455.7858254	492.3772704	481.970016	469.5681694	461.3690233	436.5626245	417.8647062	401.1475633	387.3727801	373.7386403	363.6748932	353.8733781	343.37831	332.7716088	322.4285767	315.6483935	308.8573333	302.8526227	296.3359044	291.1450934	284.9209075	278.0416086	271.142027	263.5100611	254.8508055	245.2064953	235.129946	223.8495194	211.9019685	198.0520073	183.537567	168.746809	153.4702464	137.7031419	121.3217541	104.6997802	87.49045366	69.7142347	51.39103845	32.54018721	13.18037139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 3242 MV 54.0 13.125 70M Generator NWST	337.0860451	343.9653521	350.9850532	358.1480134	365.4571566	372.9154659	380.5259856	388.2918221	396.216145	404.3021887	412.5532538	420.972708	447.0499584	428.6971658	419.3663974	444.9479594	455.7858254	492.3772704	481.970016	469.5681694	461.3690233	436.5626245	417.8647062	401.1475633	387.3727801	373.7386403	363.6748932	353.8733781	343.37831	332.7716088	322.4285767	315.6483935	308.8573333	302.8526227	296.3359044	291.1450934	284.9209075	278.0416086	271.142027	263.5100611	254.8508055	245.2064953	235.129946	223.8495194	211.9019685	198.0520073	183.537567	168.746809	153.4702464	137.7031419	121.3217541	104.6997802	87.49045366	69.7142347	51.39103845	32.54018721	13.18037139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 2792 NS 51.5 10.0 70M Generator NWST	182.9371952	186.6706074	190.4802116	194.3675629	198.3342478	202.3818856	206.5121281	210.7266613	215.0272055	219.4155158	223.8933834	228.4626362	222.0741464	220.3261339	215.5599611	224.8996961	226.5044838	241.6449198	238.6374613	235.0191687	232.3301974	223.061195	213.5201674	204.975584	197.9305489	190.9761538	185.8045468	180.8230563	175.4727516	170.036291	164.7642468	161.2671822	157.7975775	154.7297249	151.4002835	148.7482585	145.5682743	142.0535878	138.5285387	134.6293088	130.2052288	125.2778768	120.1296906	114.3664342	108.262339	101.1862877	93.77074896	86.21403741	78.40912452	70.35359007	61.98421354	53.49191974	44.69954299	35.61753655	26.25607523	16.62503092	6.733952711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 2880 NS 52.0 9.375 70M Generator NWST	182.9371952	186.6706074	190.4802116	194.3675629	198.3342478	202.3818856	206.5121281	210.7266613	215.0272055	219.4155158	223.8933834	228.4626362	222.0741464	220.3261339	215.5599611	224.8996961	226.5044838	241.6449198	238.6374613	235.0191687	232.3301974	223.061195	213.5201674	204.975584	197.9305489	190.9761538	185.8045468	180.8230563	175.4727516	170.036291	164.7642468	161.2671822	157.7975775	154.7297249	151.4002835	148.7482585	145.5682743	142.0535878	138.5285387	134.6293088	130.2052288	125.2778768	120.1296906	114.3664342	108.262339	101.1862877	93.77074896	86.21403741	78.40912452	70.35359007	61.98421354	53.49191974	44.69954299	35.61753655	26.25607523	16.62503092	6.733952711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 2881 NS 52.0 10.0 70M Generator NWST	182.9371952	186.6706074	190.4802116	194.3675629	198.3342478	202.3818856	206.5121281	210.7266613	215.0272055	219.4155158	223.8933834	228.4626362	222.0741464	220.3261339	215.5599611	224.8996961	226.5044838	241.6449198	238.6374613	235.0191687	232.3301974	223.061195	213.5201674	204.975584	197.9305489	190.9761538	185.8045468	180.8230563	175.4727516	170.036291	164.7642468	161.2671822	157.7975775	154.7297249	151.4002835	148.7482585	145.5682743	142.0535878	138.5285387	134.6293088	130.2052288	125.2778768	120.1296906	114.3664342	108.262339	101.1862877	93.77074896	86.21403741	78.40912452	70.35359007	61.98421354	53.49191974	44.69954299	35.61753655	26.25607523	16.62503092	6.733952711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
