Start Time	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01
End Time	2020-12-31	2021-12-31	2022-12-31	2023-12-31	2024-12-31	2025-12-31	2026-12-31	2027-12-31	2028-12-31	2029-12-31	2030-12-31	2031-12-31	2032-12-31	2033-12-31	2034-12-31	2035-12-31	2036-12-31	2037-12-31	2038-12-31	2039-12-31	2040-12-31	2041-12-31	2042-12-31	2043-12-31	2044-12-31	2045-12-31	2046-12-31	2047-12-31	2048-12-31	2049-12-31	2050-12-31	2051-12-31	2052-12-31	2053-12-31	2054-12-31	2055-12-31	2056-12-31	2057-12-31	2058-12-31	2059-12-31	2060-12-31
DEn_EL_Electrolyser	0.1	0.1	0.1	0.1	0.1	250	400	600	800	950	950	1200	1450	1700	2200	2700	3250	3950	4750	5900	6900	7200	7500	7850	8400	8300	8450	8450	8450	8450	8450	8450	8450	8450	8450	8450	8450	8450	8450	8450	8450
DEn_BH2_CCGT_2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEn_BH2_CCGT_2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEn_BH2_CCGT_2022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEn_BH2_CCGT_2023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEn_BH2_CCGT_2024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEn_BH2_CCGT_2025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEn_BH2_CCGT_2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEn_BH2_CCGT_2027	0	0	0	0	0	0	0	0	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64
DEn_BH2_CCGT_2028	0	0	0	0	0	0	0	0	0	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32
DEn_BH2_CCGT_2029	0	0	0	0	0	0	0	0	0	0	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64
DEn_BH2_CCGT_2030	0	0	0	0	0	0	0	0	0	0	0	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32
DEn_BH2_CCGT_2031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEn_BH2_CCGT_2032	0	0	0	0	0	0	0	0	0	0	0	0	0	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64
