Start Time	2010-01-01	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
End Time	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01
DE Onshore 2886 BR 52.0 13.125 70M Generator NWST	322.6956753	329.2813013	336.0013279	342.8584979	349.8556101	356.9955205	364.2811433	371.7154524	379.301482	387.0423286	394.9411516	403.0011751	400.1396966	396.0262562	386.8278572	404.4862152	416.2564371	438.6845366	457.2424482	474.8553538	482.7076185	478.6964839	466.6962661	454.1023749	440.9990942	427.1536778	405.4142168	384.4830233	363.7700812	344.4256165	326.9872055	318.9889965	310.6549212	302.5954682	293.4040101	283.6154617	273.066984	261.1362304	249.9010618	237.7074857	224.4679238	215.90164	206.6155143	196.6281024	185.9585062	174.6262105	162.6509345	150.0524973	136.8506981	123.065209	108.7154804	93.82065882	78.39951516	62.47038359	46.05110992	29.15900872	11.81082831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 2977 BR 52.5 14.375 70M Generator NWST	322.6956753	329.2813013	336.0013279	342.8584979	349.8556101	356.9955205	364.2811433	371.7154524	379.301482	387.0423286	394.9411516	403.0011751	400.1396966	396.0262562	386.8278572	404.4862152	416.2564371	438.6845366	457.2424482	474.8553538	482.7076185	478.6964839	466.6962661	454.1023749	440.9990942	427.1536778	405.4142168	384.4830233	363.7700812	344.4256165	326.9872055	318.9889965	310.6549212	302.5954682	293.4040101	283.6154617	273.066984	261.1362304	249.9010618	237.7074857	224.4679238	215.90164	206.6155143	196.6281024	185.9585062	174.6262105	162.6509345	150.0524973	136.8506981	123.065209	108.7154804	93.82065882	78.39951516	62.47038359	46.05110992	29.15900872	11.81082831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 3062 BR 53.0 11.875 70M Generator NWST	322.6956753	329.2813013	336.0013279	342.8584979	349.8556101	356.9955205	364.2811433	371.7154524	379.301482	387.0423286	394.9411516	403.0011751	400.1396966	396.0262562	386.8278572	404.4862152	416.2564371	438.6845366	457.2424482	474.8553538	482.7076185	478.6964839	466.6962661	454.1023749	440.9990942	427.1536778	405.4142168	384.4830233	363.7700812	344.4256165	326.9872055	318.9889965	310.6549212	302.5954682	293.4040101	283.6154617	273.066984	261.1362304	249.9010618	237.7074857	224.4679238	215.90164	206.6155143	196.6281024	185.9585062	174.6262105	162.6509345	150.0524973	136.8506981	123.065209	108.7154804	93.82065882	78.39951516	62.47038359	46.05110992	29.15900872	11.81082831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 3064 BR 53.0 13.125 70M Generator NWST	322.6956753	329.2813013	336.0013279	342.8584979	349.8556101	356.9955205	364.2811433	371.7154524	379.301482	387.0423286	394.9411516	403.0011751	400.1396966	396.0262562	386.8278572	404.4862152	416.2564371	438.6845366	457.2424482	474.8553538	482.7076185	478.6964839	466.6962661	454.1023749	440.9990942	427.1536778	405.4142168	384.4830233	363.7700812	344.4256165	326.9872055	318.9889965	310.6549212	302.5954682	293.4040101	283.6154617	273.066984	261.1362304	249.9010618	237.7074857	224.4679238	215.90164	206.6155143	196.6281024	185.9585062	174.6262105	162.6509345	150.0524973	136.8506981	123.065209	108.7154804	93.82065882	78.39951516	62.47038359	46.05110992	29.15900872	11.81082831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 3151 MV 53.5 11.875 70M Generator NWST	337.0860451	343.9653521	350.9850532	358.1480134	365.4571566	372.9154659	380.5259856	388.2918221	396.216145	404.3021887	412.5532538	420.972708	447.0499584	428.6971658	419.3663974	444.9479594	455.7858254	461.8045122	457.8790988	452.0633269	448.5513178	436.5408792	425.5553434	414.0621853	402.1682339	389.504408	369.7383524	350.5867104	331.7044464	314.0586248	298.1578433	290.8950777	283.294999	275.9453561	267.5634058	258.636952	249.0174971	238.1375059	227.8918382	216.7721717	204.6986412	196.886805	188.4185246	179.3107215	169.5808153	159.2465748	148.3259822	136.8371114	124.7980178	112.2266408	99.1407179	85.55770932	71.49473275	56.96850765	41.99530813	26.59092382	10.770628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 3242 MV 54.0 13.125 70M Generator NWST	337.0860451	343.9653521	350.9850532	358.1480134	365.4571566	372.9154659	380.5259856	388.2918221	396.216145	404.3021887	412.5532538	420.972708	447.0499584	428.6971658	419.3663974	444.9479594	455.7858254	461.8045122	457.8790988	452.0633269	448.5513178	436.5408792	425.5553434	414.0621853	402.1682339	389.504408	369.7383524	350.5867104	331.7044464	314.0586248	298.1578433	290.8950777	283.294999	275.9453561	267.5634058	258.636952	249.0174971	238.1375059	227.8918382	216.7721717	204.6986412	196.886805	188.4185246	179.3107215	169.5808153	159.2465748	148.3259822	136.8371114	124.7980178	112.2266408	99.1407179	85.55770932	71.49473275	56.96850765	41.99530813	26.59092382	10.770628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 2792 NS 51.5 10.0 70M Generator NWST	182.9371952	186.6706074	190.4802116	194.3675629	198.3342478	202.3818856	206.5121281	210.7266613	215.0272055	219.4155158	223.8933834	228.4626362	222.0741464	220.3261339	215.5599611	224.8996961	226.5044838	226.6406697	226.7093431	226.2579839	225.8756244	223.0500842	217.449923	211.5746075	205.4903787	199.03228	188.9024188	179.1436271	169.5071885	160.4745186	152.3616578	148.6205236	144.7375851	140.9825963	136.7001936	132.1396	127.2249469	121.666276	116.4316859	110.7505631	104.5821039	100.5909769	96.26446757	91.61122121	86.64013761	81.36029495	75.78088056	69.91112846	63.7602633	57.33745048	50.65175223	43.7120891	36.52720664	29.10564696	21.45572463	13.58550668	5.502796354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 2880 NS 52.0 9.375 70M Generator NWST	182.9371952	186.6706074	190.4802116	194.3675629	198.3342478	202.3818856	206.5121281	210.7266613	215.0272055	219.4155158	223.8933834	228.4626362	222.0741464	220.3261339	215.5599611	224.8996961	226.5044838	226.6406697	226.7093431	226.2579839	225.8756244	223.0500842	217.449923	211.5746075	205.4903787	199.03228	188.9024188	179.1436271	169.5071885	160.4745186	152.3616578	148.6205236	144.7375851	140.9825963	136.7001936	132.1396	127.2249469	121.666276	116.4316859	110.7505631	104.5821039	100.5909769	96.26446757	91.61122121	86.64013761	81.36029495	75.78088056	69.91112846	63.7602633	57.33745048	50.65175223	43.7120891	36.52720664	29.10564696	21.45572463	13.58550668	5.502796354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 2881 NS 52.0 10.0 70M Generator NWST	182.9371952	186.6706074	190.4802116	194.3675629	198.3342478	202.3818856	206.5121281	210.7266613	215.0272055	219.4155158	223.8933834	228.4626362	222.0741464	220.3261339	215.5599611	224.8996961	226.5044838	226.6406697	226.7093431	226.2579839	225.8756244	223.0500842	217.449923	211.5746075	205.4903787	199.03228	188.9024188	179.1436271	169.5071885	160.4745186	152.3616578	148.6205236	144.7375851	140.9825963	136.7001936	132.1396	127.2249469	121.666276	116.4316859	110.7505631	104.5821039	100.5909769	96.26446757	91.61122121	86.64013761	81.36029495	75.78088056	69.91112846	63.7602633	57.33745048	50.65175223	43.7120891	36.52720664	29.10564696	21.45572463	13.58550668	5.502796354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
