Start Time	2010-01-01	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
End Time	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01
ES Onshore 98 36.5 -5.0 70M Generator NWST	516.0658992	522.48694	528.9079808	535.3290216	541.7500624	274.0855516	277.296072	280.5065924	283.7171128	286.9276332	290.1381537	279.3796896	269.5992677	267.1834167	278.8393504	275.4563006	278.8598973	282.0110004	284.9367203	284.2766575	289.5131315	300.3010732	310.4165882	321.154932	331.890824	343.2759541	342.877511	342.5489157	342.2442065	341.9808403	338.890489	349.5109267	360.0960651	370.6156215	381.1324685	387.2047281	379.5946804	372.7506416	365.3373754	358.532401	344.1989784	338.740905	332.8028417	327.3734017	321.4957437	319.0634788	318.6603395	318.6434218	318.2376289	318.3086632	318.0312343	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633
ES Onshore 187 37.0 -5.0 70M Generator NWST	516.0658992	522.48694	528.9079808	535.3290216	541.7500624	274.0855516	277.296072	280.5065924	283.7171128	286.9276332	290.1381537	279.3796896	269.5992677	267.1834167	278.8393504	275.4563006	278.8598973	282.0110004	284.9367203	284.2766575	289.5131315	300.3010732	310.4165882	321.154932	331.890824	343.2759541	342.877511	342.5489157	342.2442065	341.9808403	338.890489	349.5109267	360.0960651	370.6156215	381.1324685	387.2047281	379.5946804	372.7506416	365.3373754	358.532401	344.1989784	338.740905	332.8028417	327.3734017	321.4957437	319.0634788	318.6603395	318.6434218	318.2376289	318.3086632	318.0312343	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633
ES Onshore 190 37.0 -3.125 70M Generator NWST	516.0658992	522.48694	528.9079808	535.3290216	541.7500624	274.0855516	277.296072	280.5065924	283.7171128	286.9276332	290.1381537	279.3796896	269.5992677	267.1834167	278.8393504	275.4563006	278.8598973	282.0110004	284.9367203	284.2766575	289.5131315	300.3010732	310.4165882	321.154932	331.890824	343.2759541	342.877511	342.5489157	342.2442065	341.9808403	338.890489	349.5109267	360.0960651	370.6156215	381.1324685	387.2047281	379.5946804	372.7506416	365.3373754	358.532401	344.1989784	338.740905	332.8028417	327.3734017	321.4957437	319.0634788	318.6603395	318.6434218	318.2376289	318.3086632	318.0312343	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633
ES Onshore 191 37.0 -2.5 70M Generator NWST	516.0658992	522.48694	528.9079808	535.3290216	541.7500624	274.0855516	277.296072	280.5065924	283.7171128	286.9276332	290.1381537	279.3796896	269.5992677	267.1834167	278.8393504	275.4563006	278.8598973	282.0110004	284.9367203	284.2766575	289.5131315	300.3010732	310.4165882	321.154932	331.890824	343.2759541	342.877511	342.5489157	342.2442065	341.9808403	338.890489	349.5109267	360.0960651	370.6156215	381.1324685	387.2047281	379.5946804	372.7506416	365.3373754	358.532401	344.1989784	338.740905	332.8028417	327.3734017	321.4957437	319.0634788	318.6603395	318.6434218	318.2376289	318.3086632	318.0312343	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633
ES Onshore 363 38.0 -6.25 70M Generator NWST	516.0658992	522.48694	528.9079808	535.3290216	541.7500624	274.0855516	277.296072	280.5065924	283.7171128	286.9276332	290.1381537	279.3796896	269.5992677	267.1834167	278.8393504	275.4563006	278.8598973	282.0110004	284.9367203	284.2766575	289.5131315	300.3010732	310.4165882	321.154932	331.890824	343.2759541	342.877511	342.5489157	342.2442065	341.9808403	338.890489	349.5109267	360.0960651	370.6156215	381.1324685	387.2047281	379.5946804	372.7506416	365.3373754	358.532401	344.1989784	338.740905	332.8028417	327.3734017	321.4957437	319.0634788	318.6603395	318.6434218	318.2376289	318.3086632	318.0312343	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633
ES Onshore 365 38.0 -5.0 70M Generator NWST	516.0658992	522.48694	528.9079808	535.3290216	541.7500624	274.0855516	277.296072	280.5065924	283.7171128	286.9276332	290.1381537	279.3796896	269.5992677	267.1834167	278.8393504	275.4563006	278.8598973	282.0110004	284.9367203	284.2766575	289.5131315	300.3010732	310.4165882	321.154932	331.890824	343.2759541	342.877511	342.5489157	342.2442065	341.9808403	338.890489	349.5109267	360.0960651	370.6156215	381.1324685	387.2047281	379.5946804	372.7506416	365.3373754	358.532401	344.1989784	338.740905	332.8028417	327.3734017	321.4957437	319.0634788	318.6603395	318.6434218	318.2376289	318.3086632	318.0312343	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633
ES Onshore 368 38.0 -3.125 70M Generator NWST	516.0658992	522.48694	528.9079808	535.3290216	541.7500624	274.0855516	277.296072	280.5065924	283.7171128	286.9276332	290.1381537	279.3796896	269.5992677	267.1834167	278.8393504	275.4563006	278.8598973	282.0110004	284.9367203	284.2766575	289.5131315	300.3010732	310.4165882	321.154932	331.890824	343.2759541	342.877511	342.5489157	342.2442065	341.9808403	338.890489	349.5109267	360.0960651	370.6156215	381.1324685	387.2047281	379.5946804	372.7506416	365.3373754	358.532401	344.1989784	338.740905	332.8028417	327.3734017	321.4957437	319.0634788	318.6603395	318.6434218	318.2376289	318.3086632	318.0312343	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633	570.5211633
ES Onshore 1082 42.0 -1.875 70M Generator NWST	227.6833221	230.5162237	233.3491253	236.1820269	239.0149285	120.923915	122.3403658	123.7568166	125.1732674	126.5897182	128.006169	123.2596379	118.9446096	117.8787593	123.0212455	121.5286762	123.0303106	124.420547	125.7113465	125.4201331	127.7304153	132.4899516	136.9528197	141.6904739	146.4270465	151.4500566	151.2742672	151.1292943	150.9948595	150.8786648	149.5152315	154.2008666	158.8709281	163.5120555	168.1519874	170.8310101	167.4735302	164.4540059	161.1833439	158.1810546	151.8572861	149.4492364	146.8294199	144.4340031	141.8408368	140.7677448	140.5898837	140.5824198	140.4033878	140.4347275	140.3123285	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462
ES Onshore 1084 42.0 -0.625 70M Generator NWST	227.6833221	230.5162237	233.3491253	236.1820269	239.0149285	120.923915	122.3403658	123.7568166	125.1732674	126.5897182	128.006169	123.2596379	118.9446096	117.8787593	123.0212455	121.5286762	123.0303106	124.420547	125.7113465	125.4201331	127.7304153	132.4899516	136.9528197	141.6904739	146.4270465	151.4500566	151.2742672	151.1292943	150.9948595	150.8786648	149.5152315	154.2008666	158.8709281	163.5120555	168.1519874	170.8310101	167.4735302	164.4540059	161.1833439	158.1810546	151.8572861	149.4492364	146.8294199	144.4340031	141.8408368	140.7677448	140.5898837	140.5824198	140.4033878	140.4347275	140.3123285	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462	251.708462
