Start Time	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
End Time	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01
GB_EV_Count	"135,204"	"189,286"	"265,000"	"1,000,000"	"1,400,000"	"1,665,600"	"2,059,200"	"2,580,800"	"3,230,400"	"4,008,000"	"4,913,600"	"5,947,200"	"7,108,800"	"8,398,400"	"9,816,000"	"11,361,600"	"12,961,600"	"14,561,600"	"16,161,600"	"17,761,600"	"19,361,600"	"19,555,216"	"19,750,768"	"19,948,276"	"20,147,759"	"20,349,236"	"20,552,729"	"20,758,256"	"20,965,838"	"21,175,497"	"21,387,252"	"21,601,124"	"21,817,136"	"22,035,307"	"22,255,660"	"22,478,217"	"22,702,999"	"22,930,029"	"23,159,329"	"23,390,922"	"23,624,831"	"23,861,080"	"24,099,691"	"24,340,687"	"24,584,094"	"24,829,935"	"25,078,235"	"25,329,017"	"25,582,307"	"25,838,130"	"26,096,512"	"26,357,477"	"26,621,051"	"26,887,262"	"27,156,135"	"27,427,696"	"27,701,973"	"27,978,993"	"28,258,783"	"28,541,370"	"28,826,784"	"29,115,052"	"29,406,202"	"29,700,264"	"29,997,267"	"30,297,240"	"30,600,212"	"30,906,214"	"31,215,276"	"31,527,429"	"31,842,703"	"32,161,131"	"32,482,742"	"32,807,569"	"33,135,645"	"33,467,001"	"33,801,671"	"34,139,688"	"34,481,085"	"34,825,896"	"35,174,155"
FR_EV_Count	"178,571"	"250,000"	"350,000"	"1,200,000"	"1,680,000"	"1,945,600"	"2,339,200"	"2,860,800"	"3,510,400"	"4,288,000"	"5,193,600"	"6,227,200"	"7,388,800"	"8,678,400"	"10,096,000"	"11,641,600"	"13,241,600"	"14,841,600"	"16,441,600"	"18,041,600"	"19,641,600"	"19,838,016"	"20,036,396"	"20,236,760"	"20,439,128"	"20,643,519"	"20,849,954"	"21,058,454"	"21,269,038"	"21,481,729"	"21,696,546"	"21,913,511"	"22,132,647"	"22,353,973"	"22,577,513"	"22,803,288"	"23,031,321"	"23,261,634"	"23,494,250"	"23,729,193"	"23,966,485"	"24,206,150"	"24,448,211"	"24,692,693"	"24,939,620"	"25,189,016"	"25,440,906"	"25,695,316"	"25,952,269"	"26,211,791"	"26,473,909"	"26,738,648"	"27,006,035"	"27,276,095"	"27,548,856"	"27,824,345"	"28,102,588"	"28,383,614"	"28,667,450"	"28,954,125"	"29,243,666"	"29,536,103"	"29,831,464"	"30,129,778"	"30,431,076"	"30,735,387"	"31,042,741"	"31,353,168"	"31,666,700"	"31,983,367"	"32,303,200"	"32,626,232"	"32,952,495"	"33,282,020"	"33,614,840"	"33,950,988"	"34,290,498"	"34,633,403"	"34,979,737"	"35,329,535"	"35,682,830"
ES_EV_Count	"102,041"	"142,857"	"200,000"	"350,000"	"490,000"	"689,200"	"984,400"	"1,375,600"	"1,862,800"	"2,446,000"	"3,125,200"	"3,900,400"	"4,771,600"	"5,738,800"	"6,802,000"	"7,961,200"	"9,161,200"	"10,361,200"	"11,561,200"	"12,761,200"	"13,961,200"	"14,100,812"	"14,241,820"	"14,384,238"	"14,528,081"	"14,673,362"	"14,820,095"	"14,968,296"	"15,117,979"	"15,269,159"	"15,421,850"	"15,576,069"	"15,731,830"	"15,889,148"	"16,048,039"	"16,208,520"	"16,370,605"	"16,534,311"	"16,699,654"	"16,866,651"	"17,035,317"	"17,205,670"	"17,377,727"	"17,551,504"	"17,727,019"	"17,904,290"	"18,083,332"	"18,264,166"	"18,446,807"	"18,631,276"	"18,817,588"	"19,005,764"	"19,195,822"	"19,387,780"	"19,581,658"	"19,777,474"	"19,975,249"	"20,175,002"	"20,376,752"	"20,580,519"	"20,786,324"	"20,994,188"	"21,204,129"	"21,416,171"	"21,630,332"	"21,846,636"	"22,065,102"	"22,285,753"	"22,508,611"	"22,733,697"	"22,961,034"	"23,190,644"	"23,422,551"	"23,656,776"	"23,893,344"	"24,132,277"	"24,373,600"	"24,617,336"	"24,863,509"	"25,112,145"	"25,363,266"
PT_EV_Count	"10,204"	"14,286"	"20,000"	"35,000"	"49,000"	"68,920"	"98,440"	"137,560"	"186,280"	"244,600"	"312,520"	"390,040"	"477,160"	"573,880"	"680,200"	"796,120"	"916,120"	"1,036,120"	"1,156,120"	"1,276,120"	"1,396,120"	"1,410,081"	"1,424,182"	"1,438,424"	"1,452,808"	"1,467,336"	"1,482,010"	"1,496,830"	"1,511,798"	"1,526,916"	"1,542,185"	"1,557,607"	"1,573,183"	"1,588,915"	"1,604,804"	"1,620,852"	"1,637,060"	"1,653,431"	"1,669,965"	"1,686,665"	"1,703,532"	"1,720,567"	"1,737,773"	"1,755,150"	"1,772,702"	"1,790,429"	"1,808,333"	"1,826,417"	"1,844,681"	"1,863,128"	"1,881,759"	"1,900,576"	"1,919,582"	"1,938,778"	"1,958,166"	"1,977,747"	"1,997,525"	"2,017,500"	"2,037,675"	"2,058,052"	"2,078,632"	"2,099,419"	"2,120,413"	"2,141,617"	"2,163,033"	"2,184,664"	"2,206,510"	"2,228,575"	"2,250,861"	"2,273,370"	"2,296,103"	"2,319,064"	"2,342,255"	"2,365,678"	"2,389,334"	"2,413,228"	"2,437,360"	"2,461,734"	"2,486,351"	"2,511,214"	"2,536,327"
DE_EV_Count	"561,224"	"785,714"	"1,100,000"	"1,540,000"	"2,156,000"	"2,454,800"	"2,897,600"	"3,484,400"	"4,215,200"	"5,090,000"	"6,108,800"	"7,271,600"	"8,578,400"	"10,029,200"	"11,624,000"	"13,362,800"	"15,162,800"	"16,962,800"	"18,762,800"	"20,562,800"	"22,362,800"	"22,586,428"	"22,812,292"	"23,040,415"	"23,270,819"	"23,503,528"	"23,738,563"	"23,975,948"	"24,215,708"	"24,457,865"	"24,702,444"	"24,949,468"	"25,198,963"	"25,450,952"	"25,705,462"	"25,962,517"	"26,222,142"	"26,484,363"	"26,749,207"	"27,016,699"	"27,286,866"	"27,559,734"	"27,835,332"	"28,113,685"	"28,394,822"	"28,678,770"	"28,965,558"	"29,255,213"	"29,547,766"	"29,843,243"	"30,141,676"	"30,443,092"	"30,747,523"	"31,054,999"	"31,365,549"	"31,679,204"	"31,995,996"	"32,315,956"	"32,639,116"	"32,965,507"	"33,295,162"	"33,628,114"	"33,964,395"	"34,304,039"	"34,647,079"	"34,993,550"	"35,343,485"	"35,696,920"	"36,053,889"	"36,414,428"	"36,778,573"	"37,146,358"	"37,517,822"	"37,893,000"	"38,271,930"	"38,654,649"	"39,041,196"	"39,431,608"	"39,825,924"	"40,224,183"	"40,626,425"
DEn_EV_Count	"210,459"	"294,643"	"412,500"	"577,500"	"808,500"	"920,550"	"1,086,600"	"1,306,650"	"1,580,700"	"1,908,750"	"2,290,800"	"2,726,850"	"3,216,900"	"3,760,950"	"4,359,000"	"5,011,050"	"5,686,050"	"6,361,050"	"7,036,050"	"7,711,050"	"8,386,050"	"8,469,911"	"8,554,610"	"8,640,156"	"8,726,557"	"8,813,823"	"8,901,961"	"8,990,981"	"9,080,891"	"9,171,699"	"9,263,417"	"9,356,051"	"9,449,611"	"9,544,107"	"9,639,548"	"9,735,944"	"9,833,303"	"9,931,636"	"10,030,953"	"10,131,262"	"10,232,575"	"10,334,900"	"10,438,250"	"10,542,632"	"10,648,058"	"10,754,539"	"10,862,084"	"10,970,705"	"11,080,412"	"11,191,216"	"11,303,129"	"11,416,160"	"11,530,321"	"11,645,625"	"11,762,081"	"11,879,702"	"11,998,499"	"12,118,484"	"12,239,669"	"12,362,065"	"12,485,686"	"12,610,543"	"12,736,648"	"12,864,015"	"12,992,655"	"13,122,581"	"13,253,807"	"13,386,345"	"13,520,208"	"13,655,411"	"13,791,965"	"13,929,884"	"14,069,183"	"14,209,875"	"14,351,974"	"14,495,493"	"14,640,449"	"14,786,853"	"14,934,722"	"15,084,069"	"15,234,909"
DEs_EV_Count	"210,459"	"294,643"	"412,500"	"577,500"	"808,500"	"920,550"	"1,086,600"	"1,306,650"	"1,580,700"	"1,908,750"	"2,290,800"	"2,726,850"	"3,216,900"	"3,760,950"	"4,359,000"	"5,011,050"	"5,686,050"	"6,361,050"	"7,036,050"	"7,711,050"	"8,386,050"	"8,469,911"	"8,554,610"	"8,640,156"	"8,726,557"	"8,813,823"	"8,901,961"	"8,990,981"	"9,080,891"	"9,171,699"	"9,263,417"	"9,356,051"	"9,449,611"	"9,544,107"	"9,639,548"	"9,735,944"	"9,833,303"	"9,931,636"	"10,030,953"	"10,131,262"	"10,232,575"	"10,334,900"	"10,438,250"	"10,542,632"	"10,648,058"	"10,754,539"	"10,862,084"	"10,970,705"	"11,080,412"	"11,191,216"	"11,303,129"	"11,416,160"	"11,530,321"	"11,645,625"	"11,762,081"	"11,879,702"	"11,998,499"	"12,118,484"	"12,239,669"	"12,362,065"	"12,485,686"	"12,610,543"	"12,736,648"	"12,864,015"	"12,992,655"	"13,122,581"	"13,253,807"	"13,386,345"	"13,520,208"	"13,655,411"	"13,791,965"	"13,929,884"	"14,069,183"	"14,209,875"	"14,351,974"	"14,495,493"	"14,640,449"	"14,786,853"	"14,934,722"	"15,084,069"	"15,234,909"
DEw_EV_Count	"140,306"	"196,429"	"275,000"	"385,000"	"539,000"	"613,700"	"724,400"	"871,100"	"1,053,800"	"1,272,500"	"1,527,200"	"1,817,900"	"2,144,600"	"2,507,300"	"2,906,000"	"3,340,700"	"3,790,700"	"4,240,700"	"4,690,700"	"5,140,700"	"5,590,700"	"5,646,607"	"5,703,073"	"5,760,104"	"5,817,705"	"5,875,882"	"5,934,641"	"5,993,987"	"6,053,927"	"6,114,466"	"6,175,611"	"6,237,367"	"6,299,741"	"6,362,738"	"6,426,366"	"6,490,629"	"6,555,536"	"6,621,091"	"6,687,302"	"6,754,175"	"6,821,717"	"6,889,934"	"6,958,833"	"7,028,421"	"7,098,706"	"7,169,693"	"7,241,390"	"7,313,803"	"7,386,942"	"7,460,811"	"7,535,419"	"7,610,773"	"7,686,881"	"7,763,750"	"7,841,387"	"7,919,801"	"7,998,999"	"8,078,989"	"8,159,779"	"8,241,377"	"8,323,791"	"8,407,029"	"8,491,099"	"8,576,010"	"8,661,770"	"8,748,388"	"8,835,871"	"8,924,230"	"9,013,472"	"9,103,607"	"9,194,643"	"9,286,590"	"9,379,456"	"9,473,250"	"9,567,983"	"9,663,662"	"9,760,299"	"9,857,902"	"9,956,481"	"10,056,046"	"10,156,606"
UK_EV_Count	"135,204"	"189,286"	"265,000"	"1,000,000"	"1,400,000"	"1,665,600"	"2,059,200"	"2,580,800"	"3,230,400"	"4,008,000"	"4,913,600"	"5,947,200"	"7,108,800"	"8,398,400"	"9,816,000"	"11,361,600"	"12,961,600"	"14,561,600"	"16,161,600"	"17,761,600"	"19,361,600"	"19,555,216"	"19,750,768"	"19,948,276"	"20,147,759"	"20,349,236"	"20,552,729"	"20,758,256"	"20,965,838"	"21,175,497"	"21,387,252"	"21,601,124"	"21,817,136"	"22,035,307"	"22,255,660"	"22,478,217"	"22,702,999"	"22,930,029"	"23,159,329"	"23,390,922"	"23,624,831"	"23,861,080"	"24,099,691"	"24,340,687"	"24,584,094"	"24,829,935"	"25,078,235"	"25,329,017"	"25,582,307"	"25,838,130"	"26,096,512"	"26,357,477"	"26,621,051"	"26,887,262"	"27,156,135"	"27,427,696"	"27,701,973"	"27,978,993"	"28,258,783"	"28,541,370"	"28,826,784"	"29,115,052"	"29,406,202"	"29,700,264"	"29,997,267"	"30,297,240"	"30,600,212"	"30,906,214"	"31,215,276"	"31,527,429"	"31,842,703"	"32,161,131"	"32,482,742"	"32,807,569"	"33,135,645"	"33,467,001"	"33,801,671"	"34,139,688"	"34,481,085"	"34,825,896"	"35,174,155"
