Start Time	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
End Time	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01
GB_HeatPump_Count	"40,000"	"80,000"	"120,000"	"160,000"	"360,000"	"610,000"	"910,000"	"1,260,000"	"1,660,000"	"2,110,000"	"2,610,000"	"3,160,000"	"3,760,000"	"4,360,000"	"4,960,000"	"5,560,000"	"6,160,000"	"6,760,000"	"7,360,000"	"7,960,000"	"8,560,000"	"9,160,000"	"9,760,000"	"10,360,000"	"10,960,000"	"11,560,000"	"12,160,000"	"12,760,000"	"13,360,000"	"13,960,000"	"14,560,000"	"15,160,000"	"15,760,000"	"16,360,000"	"16,960,000"	"17,560,000"	"18,160,000"	"18,760,000"	"19,360,000"	"19,960,000"	"20,560,000"	"21,160,000"	"21,760,000"	"22,360,000"	"22,960,000"	"23,560,000"	"24,160,000"	"24,760,000"	"25,360,000"	"25,960,000"	"26,560,000"	"27,160,000"	"27,760,000"	"28,360,000"	"28,960,000"	"29,560,000"	"30,160,000"	"30,760,000"	"31,360,000"	"31,960,000"	"32,560,000"	"33,160,000"	"33,760,000"	"34,360,000"	"34,960,000"	"35,560,000"	"36,160,000"	"36,760,000"	"37,360,000"	"37,960,000"	"38,560,000"	"39,160,000"	"39,760,000"	"40,360,000"	"40,960,000"	"41,560,000"	"42,160,000"	"42,760,000"	"43,360,000"	"43,960,000"	"44,560,000"
FR_HeatPump_Count	"40,000"	"80,000"	"120,000"	"160,000"	"200,000"	"240,000"	"280,000"	"320,000"	"520,000"	"720,000"	"920,000"	"1,120,000"	"1,320,000"	"1,520,000"	"1,720,000"	"1,920,000"	"2,120,000"	"2,320,000"	"2,520,000"	"2,720,000"	"2,920,000"	"3,120,000"	"3,320,000"	"3,520,000"	"3,720,000"	"3,920,000"	"4,120,000"	"4,320,000"	"4,520,000"	"4,720,000"	"4,920,000"	"5,120,000"	"5,320,000"	"5,520,000"	"5,720,000"	"5,920,000"	"6,120,000"	"6,320,000"	"6,520,000"	"6,720,000"	"6,920,000"	"7,120,000"	"7,320,000"	"7,520,000"	"7,720,000"	"7,920,000"	"8,120,000"	"8,320,000"	"8,520,000"	"8,720,000"	"8,920,000"	"9,120,000"	"9,320,000"	"9,520,000"	"9,720,000"	"9,920,000"	"10,120,000"	"10,320,000"	"10,520,000"	"10,720,000"	"10,920,000"	"11,120,000"	"11,320,000"	"11,520,000"	"11,720,000"	"11,920,000"	"12,120,000"	"12,320,000"	"12,520,000"	"12,720,000"	"12,920,000"	"13,120,000"	"13,320,000"	"13,520,000"	"13,720,000"	"13,920,000"	"14,120,000"	"14,320,000"	"14,520,000"	"14,720,000"	"14,920,000"
ES_HeatPump_Count	"35,000"	"70,000"	"105,000"	"140,000"	"175,000"	"210,000"	"245,000"	"280,000"	"455,000"	"630,000"	"805,000"	"980,000"	"1,155,000"	"1,330,000"	"1,505,000"	"1,680,000"	"1,855,000"	"2,030,000"	"2,205,000"	"2,380,000"	"2,555,000"	"2,730,000"	"2,905,000"	"3,080,000"	"3,255,000"	"3,430,000"	"3,605,000"	"3,780,000"	"3,955,000"	"4,130,000"	"4,305,000"	"4,480,000"	"4,655,000"	"4,830,000"	"5,005,000"	"5,180,000"	"5,355,000"	"5,530,000"	"5,705,000"	"5,880,000"	"6,055,000"	"6,230,000"	"6,405,000"	"6,580,000"	"6,755,000"	"6,930,000"	"7,105,000"	"7,280,000"	"7,455,000"	"7,630,000"	"7,805,000"	"7,980,000"	"8,155,000"	"8,330,000"	"8,505,000"	"8,680,000"	"8,855,000"	"9,030,000"	"9,205,000"	"9,380,000"	"9,555,000"	"9,730,000"	"9,905,000"	"10,080,000"	"10,255,000"	"10,430,000"	"10,605,000"	"10,780,000"	"10,955,000"	"11,130,000"	"11,305,000"	"11,480,000"	"11,655,000"	"11,830,000"	"12,005,000"	"12,180,000"	"12,355,000"	"12,530,000"	"12,705,000"	"12,880,000"	"13,055,000"
PT_HeatPump_Count	"3,500"	"7,000"	"10,500"	"14,000"	"17,500"	"21,000"	"24,500"	"28,000"	"115,500"	"203,000"	"290,500"	"378,000"	"465,500"	"553,000"	"640,500"	"728,000"	"815,500"	"903,000"	"990,500"	"1,078,000"	"1,165,500"	"1,253,000"	"1,340,500"	"1,428,000"	"1,515,500"	"1,603,000"	"1,690,500"	"1,778,000"	"1,865,500"	"1,953,000"	"2,040,500"	"2,128,000"	"2,215,500"	"2,303,000"	"2,390,500"	"2,478,000"	"2,565,500"	"2,653,000"	"2,740,500"	"2,828,000"	"2,915,500"	"3,003,000"	"3,090,500"	"3,178,000"	"3,265,500"	"3,353,000"	"3,440,500"	"3,528,000"	"3,615,500"	"3,703,000"	"3,790,500"	"3,878,000"	"3,965,500"	"4,053,000"	"4,140,500"	"4,228,000"	"4,315,500"	"4,403,000"	"4,490,500"	"4,578,000"	"4,665,500"	"4,753,000"	"4,840,500"	"4,928,000"	"5,015,500"	"5,103,000"	"5,190,500"	"5,278,000"	"5,365,500"	"5,453,000"	"5,540,500"	"5,628,000"	"5,715,500"	"5,803,000"	"5,890,500"	"5,978,000"	"6,065,500"	"6,153,000"	"6,240,500"	"6,328,000"	"6,415,500"
DE_HeatPump_Count	"45,000"	"90,000"	"135,000"	"180,000"	"225,000"	"270,000"	"315,000"	"360,000"	"585,000"	"810,000"	"1,035,000"	"1,260,000"	"1,485,000"	"1,710,000"	"1,935,000"	"2,160,000"	"2,385,000"	"2,610,000"	"2,835,000"	"3,060,000"	"3,285,000"	"3,510,000"	"3,735,000"	"3,960,000"	"4,185,000"	"4,410,000"	"4,635,000"	"4,860,000"	"5,085,000"	"5,310,000"	"5,535,000"	"5,760,000"	"5,985,000"	"6,210,000"	"6,435,000"	"6,660,000"	"6,885,000"	"7,110,000"	"7,335,000"	"7,560,000"	"7,785,000"	"8,010,000"	"8,235,000"	"8,460,000"	"8,685,000"	"8,910,000"	"9,135,000"	"9,360,000"	"9,585,000"	"9,810,000"	"10,035,000"	"10,260,000"	"10,485,000"	"10,710,000"	"10,935,000"	"11,160,000"	"11,385,000"	"11,610,000"	"11,835,000"	"12,060,000"	"12,285,000"	"12,510,000"	"12,735,000"	"12,960,000"	"13,185,000"	"13,410,000"	"13,635,000"	"13,860,000"	"14,085,000"	"14,310,000"	"14,535,000"	"14,760,000"	"14,985,000"	"15,210,000"	"15,435,000"	"15,660,000"	"15,885,000"	"16,110,000"	"16,335,000"	"16,560,000"	"16,785,000"
																																																																																	
																																																																																	
																																																																																	
																																																																																	
