Start Time	2010-01-01	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
End Time	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01
DE Base Demand	64357.20888	65007.28168	65663.9209	66327.19283	66997.16447	67673.9035	68357.4783	69047.95787	69745.41199	55223	54523	55223	73699.67	74574.93901	75940.24502	76730.63684	77964.19952	79164.64726	80645.41727	81649.55301	82928.50317	85286.90817	87573.58202	89412.27315	91434.74318	93380.23303	95929.95884	97859.97115	99854.83974	102276.7056	104520.0085	106470.8132	108709.8586	111001.5754	113759.6733	116371.3414	118224.21	120722.1626	123477.828	124735.2008	126715.1565	63967.83347	64316.22441	64661.25847	65002.94025	65341.27523	65676.26977	66007.9311	66336.26726	66661.28707	66983.00018	67301.41691	67616.54833	67928.40622	68237.00301	68542.35175	68844.46616	69143.3605	69439.04965	69731.54899	70020.87446	70307.04249	70590.07	70869.97435	71146.77337	71420.48529	71691.12875	71958.72276	72223.2867	72484.84028	72743.40356	72998.99689	73251.6409	73501.35652	73748.16492	73992.08751	74233.14594	74471.36205	74706.7579	74939.35571	75169.17788	75396.24696	75620.58564	75842.21673	76061.16318	76277.44802	76491.09438	76702.12548	76910.56458	77116.43505	77319.76025
DE North	185.7	185.7	185.7	185.7	185.7	185.7	185.7	185.7	185.7	185.7	185.7	185.7	185.7	185.7	185.7	185.7	185.7	185.7	185.7	186	185.9	186.3	186.7	187.5	188.3	189	188.8	189.1	189.3	189.6	190.2	191	191.6	192.3	192.9	193.8	194.6	195.5	196.2	197.3	198.3	201.3	204.1	207.2	210.1	213	215.8	218.9	221.9	224.8	227.6	229.4208	231.2561664	233.1062157	234.9710655	236.850834	238.7456407	240.6556058	242.5808506	244.5214974	246.4776694	248.4494908	250.4370867	252.4405834	254.4601081	256.4957889	258.5477552	260.6161373	262.7010664	264.8026749	266.9210963	269.0564651	271.2089168	273.3785881	275.5656168	277.7701418	279.9923029	282.2322413	284.4900992	286.76602	289.0601482	291.3726294	293.7036104	296.0532393	298.4216652	300.8090385	303.2155109	305.6412349	308.0863648	310.5510557	313.0354642
DE South	385.1	385.1	385.1	385.1	385.1	385.1	385.1	385.1	385.1	385.1	385.1	385.1	385.1	385.1	385.1	385.1	385.1	385.1	385	385.5	385.5	386.2	387.1	388.8	390.3	391.7	391.5	392	392.5	393.1	394.3	395.9	397.3	398.7	399.9	401.9	403.5	405.3	406.9	409.1	411.2	417.3	423	429.5	435.6	441.7	447.4	453.9	460	466.1	471.8	475.5744	479.3789952	483.2140272	487.0797394	490.9763773	494.9041883	498.8634218	502.8543292	506.8771638	510.9321811	515.0196386	519.1397957	523.2929141	527.4792574	531.6990914	535.9526842	540.2403056	544.5622281	548.9187259	553.3100757	557.7365563	562.1984488	566.6960364	571.2296047	575.7994415	580.405837	585.0490837	589.7294764	594.4473122	599.2028907	603.9965138	608.8284859	613.6991138	618.6087067	623.5575764	628.546037	633.5744053	638.6430005	643.7521445	648.9021617
DE Totalmw	0.9	570.8	570.8	570.8	570.8	570.8	570.8	570.8	570.8	570.8	570.8	570.8	570.8	570.8	570.8	570.8	570.8	570.8	570.7	571.5	571.4	572.5	573.8	576.3	578.6	580.7	580.3	581.1	581.8	582.7	584.5	586.9	588.9	591	592.8	595.7	598.1	600.8	603.1	606.4	609.5	618.6	627.1	636.7	645.7	654.7	663.2	672.8	681.9	690.9	699.4	704.9952	710.6351616	716.3202429	722.0508048	727.8272113	733.649829	739.5190276	745.4351798	751.3986613	757.4098505	763.4691294	769.5768824	775.7334974	781.9393654	788.1948803	794.5004394	800.8564429	807.2632944	813.7214008	820.231172	826.7930214	833.4073656	840.0746245	846.7952215	853.5695832	860.3981399	867.281325	874.2195756	881.2133322	888.2630389	895.3691432	902.5320964	909.7523531	917.030372	924.3666149	931.7615478	939.2156402	946.7293654	954.3032003	961.9376259
DE Total	65159.81735	65159.81735	65159.81735	65159.81735	65159.81735	65159.81735	65159.81735	65159.81735	65159.81735	65159.81735	65159.81735	65159.81735	65159.81735	65159.81735	65159.81735	65159.81735	65159.81735	65159.81735	65148.40183	65239.72603	65228.3105	65353.88128	65502.28311	65787.67123	66050.22831	66289.95434	66244.29224	66335.61644	66415.52511	66518.26484	66723.74429	66997.71689	67226.0274	67465.75342	67671.23288	68002.28311	68276.25571	68584.47489	68847.03196	69223.74429	69577.62557	70616.43836	71586.75799	72682.6484	73710.04566	74737.44292	75707.76256	76803.65297	77842.46575	78869.86301	79840.18265	80478.90411	81122.73534	81771.71723	82425.89096	83085.29809	83749.98048	84419.98032	85095.34016	85776.10288	86462.31171	87154.0102	87851.24228	88554.05222	89262.48464	89976.58451	90696.39719	91421.96837	92153.34412	92890.57087	93633.69543	94382.765	95137.82712	95898.92974	96666.12117	97439.45014	98218.96574	99004.71747	99796.75521	100595.1293	101399.8903	102211.0894	103028.7781	103853.0083	104683.8324	105521.3031	106365.4735	107216.3973	108074.1285	108938.7215	109810.2313
DE N Ratio	0.325332866	0.325332866	0.325332866	0.325332866	0.325332866	0.325332866	0.325332866	0.325332866	0.325332866	0.325332866	0.325332866	0.325332866	0.325332866	0.325332866	0.325332866	0.325332866	0.325332866	0.325332866	0.325389872	0.325459318	0.325341267	0.325414847	0.325374695	0.325351379	0.325440719	0.325469261	0.325348957	0.325417312	0.325369543	0.325381843	0.32540633	0.325438746	0.325352352	0.325380711	0.325404858	0.325331543	0.325363652	0.325399467	0.325319184	0.325362797	0.325348646	0.325412221	0.325466433	0.325427988	0.325383305	0.32533985	0.325392039	0.325356718	0.325414284	0.325372702	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179	0.32542179
DE S Ratio	0.445280308	0.445280308	0.445280308	0.445280308	0.445280308	0.445280308	0.445280308	0.445280308	0.445280308	0.445280308	0.445280308	0.445280308	0.445280308	0.445280308	0.445280308	0.445280308	0.445280308	0.445280308	0.445242684	0.44519685	0.445274764	0.445226201	0.445252701	0.44526809	0.445209125	0.445190288	0.445269688	0.445224574	0.445256102	0.445247984	0.445231822	0.445210428	0.445267448	0.445248731	0.445232794	0.445281182	0.44525999	0.445236352	0.445289338	0.445260554	0.445269893	0.445227934	0.445192154	0.445217528	0.445247019	0.445275699	0.445241255	0.445264566	0.445226573	0.445254017	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619	0.445221619
DE W Ratio	1.1	0.229386826	0.229386826	0.229386826	0.229386826	0.229386826	0.229386826	0.229386826	0.229386826	0.229386826	0.229386826	0.229386826	0.229386826	0.229386826	0.229386826	0.229386826	0.229386826	0.229386826	0.229367443	0.229343832	0.229383969	0.229358952	0.229372604	0.229380531	0.229350156	0.229340451	0.229381354	0.229358114	0.229374355	0.229370173	0.229361848	0.229350826	0.2293802	0.229370558	0.229362348	0.229387275	0.229376358	0.229364181	0.229391477	0.229376649	0.22938146	0.229359845	0.229341413	0.229354484	0.229369676	0.229384451	0.229366707	0.229378716	0.229359144	0.229373281	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591	0.229356591
DEn Base Demand	17052.9443	17052.9443	17052.9443	17052.9443	17052.9443	17052.9443	17052.9443	17052.9443	17052.9443	17052.9443	17052.9443	17052.9443	17052.9443	17052.9443	17052.9443	17052.9443	17010.77573	17017.95385	16993.54231	16967.32235	16943.61762	16911.72487	16863.36519	16799.45423	16734.82415	16660.18506	16575.967	16498.41623	16414.46946	16335.05114	16266.73693	16208.56015	16164.67118	16090.68119	16022.90823	15962.09459	15897.6381	15828.85916	15751.44145	15664.4945	15577.22421	15577.7689	15578.23338	15577.90399	15577.52115	15577.14885	15577.59599	15577.29336	15577.78658	15577.43032	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089	15577.85089
