Start Time	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
End Time	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01
GB_EV_Count	"135,204"	"189,286"	"265,000"	"1,000,000"	"1,400,000"	"1,665,600"	"2,059,200"	"2,580,800"	"3,230,400"	"4,008,000"	"4,913,600"	"5,947,200"	"7,108,800"	"8,398,400"	"9,816,000"	"11,361,600"	"12,961,600"	"14,561,600"	"16,161,600"	"17,761,600"	"19,361,600"	"19,555,216"	"19,750,768"	"19,948,276"	"20,147,759"	"20,349,236"	"20,552,729"	"20,758,256"	"20,965,838"	"21,175,497"	"21,387,252"	"21,601,124"	"21,817,136"	"22,035,307"	"22,255,660"	"22,478,217"	"22,702,999"	"22,930,029"	"23,159,329"	"23,390,922"	"23,624,831"	"23,861,080"	"24,099,691"	"24,340,687"	"24,584,094"	"24,829,935"	"25,078,235"	"25,329,017"	"25,582,307"	"25,838,130"	"26,096,512"	"26,357,477"	"26,621,051"	"26,887,262"	"27,156,135"	"27,427,696"	"27,701,973"	"27,978,993"	"28,258,783"	"28,541,370"	"28,826,784"	"29,115,052"	"29,406,202"	"29,700,264"	"29,997,267"	"30,297,240"	"30,600,212"	"30,906,214"	"31,215,276"	"31,527,429"	"31,842,703"	"32,161,131"	"32,482,742"	"32,807,569"	"33,135,645"	"33,467,001"	"33,801,671"	"34,139,688"	"34,481,085"	"34,825,896"	"35,174,155"
FR_EV_Count	"178,571"	"250,000"	"350,000"	"1,200,000"	"1,680,000"	"1,945,600"	"2,339,200"	"2,860,800"	"3,510,400"	"4,288,000"	"5,193,600"	"6,227,200"	"7,388,800"	"8,678,400"	"10,096,000"	"11,641,600"	"13,241,600"	"14,841,600"	"16,441,600"	"18,041,600"	"19,641,600"	"19,838,016"	"20,036,396"	"20,236,760"	"20,439,128"	"20,643,519"	"20,849,954"	"21,058,454"	"21,269,038"	"21,481,729"	"21,696,546"	"21,913,511"	"22,132,647"	"22,353,973"	"22,577,513"	"22,803,288"	"23,031,321"	"23,261,634"	"23,494,250"	"23,729,193"	"23,966,485"	"24,206,150"	"24,448,211"	"24,692,693"	"24,939,620"	"25,189,016"	"25,440,906"	"25,695,316"	"25,952,269"	"26,211,791"	"26,473,909"	"26,738,648"	"27,006,035"	"27,276,095"	"27,548,856"	"27,824,345"	"28,102,588"	"28,383,614"	"28,667,450"	"28,954,125"	"29,243,666"	"29,536,103"	"29,831,464"	"30,129,778"	"30,431,076"	"30,735,387"	"31,042,741"	"31,353,168"	"31,666,700"	"31,983,367"	"32,303,200"	"32,626,232"	"32,952,495"	"33,282,020"	"33,614,840"	"33,950,988"	"34,290,498"	"34,633,403"	"34,979,737"	"35,329,535"	"35,682,830"
ES_EV_Count	"102,041"	"142,857"	"200,000"	"350,000"	"490,000"	"689,200"	"984,400"	"1,375,600"	"1,862,800"	"2,446,000"	"3,125,200"	"3,900,400"	"4,771,600"	"5,738,800"	"6,802,000"	"7,961,200"	"9,161,200"	"10,361,200"	"11,561,200"	"12,761,200"	"13,961,200"	"14,100,812"	"14,241,820"	"14,384,238"	"14,528,081"	"14,673,362"	"14,820,095"	"14,968,296"	"15,117,979"	"15,269,159"	"15,421,850"	"15,576,069"	"15,731,830"	"15,889,148"	"16,048,039"	"16,208,520"	"16,370,605"	"16,534,311"	"16,699,654"	"16,866,651"	"17,035,317"	"17,205,670"	"17,377,727"	"17,551,504"	"17,727,019"	"17,904,290"	"18,083,332"	"18,264,166"	"18,446,807"	"18,631,276"	"18,817,588"	"19,005,764"	"19,195,822"	"19,387,780"	"19,581,658"	"19,777,474"	"19,975,249"	"20,175,002"	"20,376,752"	"20,580,519"	"20,786,324"	"20,994,188"	"21,204,129"	"21,416,171"	"21,630,332"	"21,846,636"	"22,065,102"	"22,285,753"	"22,508,611"	"22,733,697"	"22,961,034"	"23,190,644"	"23,422,551"	"23,656,776"	"23,893,344"	"24,132,277"	"24,373,600"	"24,617,336"	"24,863,509"	"25,112,145"	"25,363,266"
PT_EV_Count	"10,204"	"14,286"	"20,000"	"35,000"	"49,000"	"68,920"	"98,440"	"137,560"	"186,280"	"244,600"	"312,520"	"390,040"	"477,160"	"573,880"	"680,200"	"796,120"	"916,120"	"1,036,120"	"1,156,120"	"1,276,120"	"1,396,120"	"1,410,081"	"1,424,182"	"1,438,424"	"1,452,808"	"1,467,336"	"1,482,010"	"1,496,830"	"1,511,798"	"1,526,916"	"1,542,185"	"1,557,607"	"1,573,183"	"1,588,915"	"1,604,804"	"1,620,852"	"1,637,060"	"1,653,431"	"1,669,965"	"1,686,665"	"1,703,532"	"1,720,567"	"1,737,773"	"1,755,150"	"1,772,702"	"1,790,429"	"1,808,333"	"1,826,417"	"1,844,681"	"1,863,128"	"1,881,759"	"1,900,576"	"1,919,582"	"1,938,778"	"1,958,166"	"1,977,747"	"1,997,525"	"2,017,500"	"2,037,675"	"2,058,052"	"2,078,632"	"2,099,419"	"2,120,413"	"2,141,617"	"2,163,033"	"2,184,664"	"2,206,510"	"2,228,575"	"2,250,861"	"2,273,370"	"2,296,103"	"2,319,064"	"2,342,255"	"2,365,678"	"2,389,334"	"2,413,228"	"2,437,360"	"2,461,734"	"2,486,351"	"2,511,214"	"2,536,327"
DE_EV_Count	"561,224"	"785,714"	"1,100,000"	"1,540,000"	"2,156,000"	"2,454,800"	"2,897,600"	"3,484,400"	"4,301,056"	"5,281,044"	"6,261,031"	"7,349,906"	"8,547,669"	"9,636,544"	"10,888,750"	"12,086,513"	"13,229,831"	"14,264,263"	"15,135,363"	"16,006,463"	"16,823,119"	"17,585,331"	"18,238,656"	"18,891,981"	"19,436,419"	"19,980,856"	"20,361,963"	"20,797,513"	"21,178,619"	"21,559,725"	"21,886,388"	"22,104,163"	"22,267,494"	"22,376,381"	"22,485,269"	"22,594,156"	"22,648,600"	"22,703,044"	"22,757,488"	"22,811,931"	"22,920,819"	"22,980,508"	"23,040,353"	"23,100,354"	"23,160,512"	"23,220,825"	"23,281,296"	"23,341,925"	"23,402,711"	"23,463,655"	"23,524,759"	"23,586,021"	"23,647,443"	"23,709,025"	"23,770,767"	"23,832,670"	"23,894,734"	"23,956,960"	"24,019,348"	"24,081,899"	"24,144,612"	"24,207,489"	"24,270,529"	"24,333,733"	"24,397,102"	"24,460,637"	"24,524,336"	"24,588,202"	"24,652,233"	"24,716,432"	"24,780,798"	"24,845,331"	"24,910,032"	"24,974,902"	"25,039,941"	"25,105,149"	"25,170,527"	"25,236,075"	"25,301,794"	"25,367,684"	"25,433,746"
DEw_EV_Count	"140,306"	"196,429"	"275,000"	"385,000"	"539,000"	"613,700"	"724,400"	"871,100"	"946,616"	"1,162,301"	"1,377,986"	"1,617,636"	"1,881,250"	"2,120,900"	"2,396,497"	"2,660,112"	"2,911,744"	"3,139,411"	"3,331,131"	"3,522,851"	"3,702,588"	"3,870,343"	"4,014,133"	"4,157,923"	"4,277,748"	"4,397,572"	"4,481,450"	"4,577,310"	"4,661,187"	"4,745,064"	"4,816,959"	"4,864,889"	"4,900,837"	"4,924,802"	"4,948,767"	"4,972,732"	"4,984,714"	"4,996,697"	"5,008,679"	"5,020,662"	"5,044,627"	"5,057,764"	"5,070,935"	"5,084,140"	"5,097,380"	"5,110,655"	"5,123,964"	"5,137,308"	"5,150,686"	"5,164,099"	"5,177,547"	"5,191,031"	"5,204,549"	"5,218,102"	"5,231,691"	"5,245,315"	"5,258,975"	"5,272,670"	"5,286,401"	"5,300,168"	"5,313,970"	"5,327,809"	"5,341,683"	"5,355,594"	"5,369,541"	"5,383,524"	"5,397,544"	"5,411,600"	"5,425,692"	"5,439,822"	"5,453,988"	"5,468,191"	"5,482,431"	"5,496,708"	"5,511,023"	"5,525,374"	"5,539,763"	"5,554,190"	"5,568,654"	"5,583,156"	"5,597,695"
DEs_EV_Count	"210,459"	"294,643"	"412,500"	"577,500"	"808,500"	"920,550"	"1,086,600"	"1,306,650"	"1,837,549"	"2,256,232"	"2,674,914"	"3,140,116"	"3,651,839"	"4,117,041"	"4,652,024"	"5,163,747"	"5,652,209"	"6,094,151"	"6,466,313"	"6,838,475"	"7,187,377"	"7,513,019"	"7,792,140"	"8,071,262"	"8,303,863"	"8,536,464"	"8,699,285"	"8,885,366"	"9,048,187"	"9,211,008"	"9,350,568"	"9,443,609"	"9,513,389"	"9,559,909"	"9,606,430"	"9,652,950"	"9,676,210"	"9,699,470"	"9,722,730"	"9,745,990"	"9,792,511"	"9,818,012"	"9,843,580"	"9,869,214"	"9,894,915"	"9,920,683"	"9,946,518"	"9,972,420"	"9,998,390"	"10,024,428"	"10,050,533"	"10,076,706"	"10,102,948"	"10,129,258"	"10,155,636"	"10,182,083"	"10,208,599"	"10,235,184"	"10,261,838"	"10,288,561"	"10,315,354"	"10,342,217"	"10,369,150"	"10,396,153"	"10,423,226"	"10,450,370"	"10,477,585"	"10,504,870"	"10,532,227"	"10,559,654"	"10,587,153"	"10,614,724"	"10,642,366"	"10,670,081"	"10,697,868"	"10,725,727"	"10,753,658"	"10,781,663"	"10,809,740"	"10,837,890"	"10,866,114"
DEn_EV_Count	"210,459"	"294,643"	"412,500"	"577,500"	"808,500"	"920,550"	"1,086,600"	"1,306,650"	"1,516,890"	"1,862,511"	"2,208,132"	"2,592,154"	"3,014,580"	"3,398,602"	"3,840,229"	"4,262,654"	"4,665,878"	"5,030,700"	"5,337,918"	"5,645,136"	"5,933,153"	"6,201,970"	"6,432,383"	"6,662,797"	"6,854,808"	"7,046,820"	"7,181,228"	"7,334,837"	"7,469,245"	"7,603,653"	"7,718,860"	"7,795,664"	"7,853,268"	"7,891,670"	"7,930,072"	"7,968,475"	"7,987,676"	"8,006,877"	"8,026,078"	"8,045,279"	"8,083,682"	"8,104,733"	"8,125,839"	"8,147,000"	"8,168,216"	"8,189,488"	"8,210,814"	"8,232,197"	"8,253,635"	"8,275,128"	"8,296,678"	"8,318,284"	"8,339,946"	"8,361,665"	"8,383,440"	"8,405,272"	"8,427,161"	"8,449,107"	"8,471,109"	"8,493,170"	"8,515,287"	"8,537,462"	"8,559,695"	"8,581,986"	"8,604,335"	"8,626,742"	"8,649,208"	"8,671,732"	"8,694,314"	"8,716,956"	"8,739,656"	"8,762,416"	"8,785,235"	"8,808,113"	"8,831,051"	"8,854,048"	"8,877,106"	"8,900,223"	"8,923,401"	"8,946,639"	"8,969,937"
UK_EV_Count	"135,204"	"189,286"	"265,000"	"1,000,000"	"1,400,000"	"1,665,600"	"2,059,200"	"2,580,800"	"3,230,400"	"4,008,000"	"4,913,600"	"5,947,200"	"7,108,800"	"8,398,400"	"9,816,000"	"11,361,600"	"12,961,600"	"14,561,600"	"16,161,600"	"17,761,600"	"19,361,600"	"19,555,216"	"19,750,768"	"19,948,276"	"20,147,759"	"20,349,236"	"20,552,729"	"20,758,256"	"20,965,838"	"21,175,497"	"21,387,252"	"21,601,124"	"21,817,136"	"22,035,307"	"22,255,660"	"22,478,217"	"22,702,999"	"22,930,029"	"23,159,329"	"23,390,922"	"23,624,831"	"23,861,080"	"24,099,691"	"24,340,687"	"24,584,094"	"24,829,935"	"25,078,235"	"25,329,017"	"25,582,307"	"25,838,130"	"26,096,512"	"26,357,477"	"26,621,051"	"26,887,262"	"27,156,135"	"27,427,696"	"27,701,973"	"27,978,993"	"28,258,783"	"28,541,370"	"28,826,784"	"29,115,052"	"29,406,202"	"29,700,264"	"29,997,267"	"30,297,240"	"30,600,212"	"30,906,214"	"31,215,276"	"31,527,429"	"31,842,703"	"32,161,131"	"32,482,742"	"32,807,569"	"33,135,645"	"33,467,001"	"33,801,671"	"34,139,688"	"34,481,085"	"34,825,896"	"35,174,155"
