Start Time	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
End Time	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01
GB_EV_W_KM	200	200	200	220	215.6	211.7192	208.289349	205.2524903	202.5591671	200.1669838	198.039445	196.1450119	194.456332	192.9496047	191.6040573	190.4015097	189.3260095	188.3635268	187.5016962	186.7295974	186.03757	185.4170535	184.8604514	184.3610133	183.9127334	183.5102625	183.1488314	182.824184	182.5325193	182.2704399	182.034907	181.8232014	181.6328879	181.461785	181.3079375	181.1695922	181.0451763	180.933279	180.8326336	180.7421032	180.6606666	180.5874067	180.5214995	180.4622047	180.4088568	180.360858	180.3176705	180.2788111	180.2438452	180.212382	180.18407	180.1585932	180.1356674	180.1150367	180.0964713	180.0797641	180.064729	180.0511986	180.0390221	180.0280641	180.0182024	180.0093274	180.0013402	179.9941521	179.9876831	179.9818612	179.9766216	179.9719062	179.9676624	179.963843	179.9604057	179.9573122	179.954528	179.9520224	179.9497673	179.9477377	179.9459112	179.9442673	179.9427878	179.9414562	179.9402579
ES_EV_W_KM	200	200	200	220	215.6	211.7192	208.289349	205.2524903	202.5591671	200.1669838	198.039445	196.1450119	194.456332	192.9496047	191.6040573	190.4015097	189.3260095	188.3635268	187.5016962	186.7295974	186.03757	185.4170535	184.8604514	184.3610133	183.9127334	183.5102625	183.1488314	182.824184	182.5325193	182.2704399	182.034907	181.8232014	181.6328879	181.461785	181.3079375	181.1695922	181.0451763	180.933279	180.8326336	180.7421032	180.6606666	180.5874067	180.5214995	180.4622047	180.4088568	180.360858	180.3176705	180.2788111	180.2438452	180.212382	180.18407	180.1585932	180.1356674	180.1150367	180.0964713	180.0797641	180.064729	180.0511986	180.0390221	180.0280641	180.0182024	180.0093274	180.0013402	179.9941521	179.9876831	179.9818612	179.9766216	179.9719062	179.9676624	179.963843	179.9604057	179.9573122	179.954528	179.9520224	179.9497673	179.9477377	179.9459112	179.9442673	179.9427878	179.9414562	179.9402579
PT_EV_W_KM	200	200	200	220	215.6	211.7192	208.289349	205.2524903	202.5591671	200.1669838	198.039445	196.1450119	194.456332	192.9496047	191.6040573	190.4015097	189.3260095	188.3635268	187.5016962	186.7295974	186.03757	185.4170535	184.8604514	184.3610133	183.9127334	183.5102625	183.1488314	182.824184	182.5325193	182.2704399	182.034907	181.8232014	181.6328879	181.461785	181.3079375	181.1695922	181.0451763	180.933279	180.8326336	180.7421032	180.6606666	180.5874067	180.5214995	180.4622047	180.4088568	180.360858	180.3176705	180.2788111	180.2438452	180.212382	180.18407	180.1585932	180.1356674	180.1150367	180.0964713	180.0797641	180.064729	180.0511986	180.0390221	180.0280641	180.0182024	180.0093274	180.0013402	179.9941521	179.9876831	179.9818612	179.9766216	179.9719062	179.9676624	179.963843	179.9604057	179.9573122	179.954528	179.9520224	179.9497673	179.9477377	179.9459112	179.9442673	179.9427878	179.9414562	179.9402579
FR_EV_W_KM	200	200	200	220	215.6	211.7192	208.289349	205.2524903	202.5591671	200.1669838	198.039445	196.1450119	194.456332	192.9496047	191.6040573	190.4015097	189.3260095	188.3635268	187.5016962	186.7295974	186.03757	185.4170535	184.8604514	184.3610133	183.9127334	183.5102625	183.1488314	182.824184	182.5325193	182.2704399	182.034907	181.8232014	181.6328879	181.461785	181.3079375	181.1695922	181.0451763	180.933279	180.8326336	180.7421032	180.6606666	180.5874067	180.5214995	180.4622047	180.4088568	180.360858	180.3176705	180.2788111	180.2438452	180.212382	180.18407	180.1585932	180.1356674	180.1150367	180.0964713	180.0797641	180.064729	180.0511986	180.0390221	180.0280641	180.0182024	180.0093274	180.0013402	179.9941521	179.9876831	179.9818612	179.9766216	179.9719062	179.9676624	179.963843	179.9604057	179.9573122	179.954528	179.9520224	179.9497673	179.9477377	179.9459112	179.9442673	179.9427878	179.9414562	179.9402579
DE_EV_W_KM	200	200	200	220	215.6	211.7192	208.289349	205.2524903	202.5591671	200.1669838	198.039445	196.1450119	194.456332	192.9496047	191.6040573	190.4015097	189.3260095	188.3635268	187.5016962	186.7295974	186.03757	185.4170535	184.8604514	184.3610133	183.9127334	183.5102625	183.1488314	182.824184	182.5325193	182.2704399	182.034907	181.8232014	181.6328879	181.461785	181.3079375	181.1695922	181.0451763	180.933279	180.8326336	180.7421032	180.6606666	180.5874067	180.5214995	180.4622047	180.4088568	180.360858	180.3176705	180.2788111	180.2438452	180.212382	180.18407	180.1585932	180.1356674	180.1150367	180.0964713	180.0797641	180.064729	180.0511986	180.0390221	180.0280641	180.0182024	180.0093274	180.0013402	179.9941521	179.9876831	179.9818612	179.9766216	179.9719062	179.9676624	179.963843	179.9604057	179.9573122	179.954528	179.9520224	179.9497673	179.9477377	179.9459112	179.9442673	179.9427878	179.9414562	179.9402579
DEn_EV_W_KM	200	200	200	220	215.6	211.7192	208.289349	205.2524903	202.5591671	200.1669838	198.039445	196.1450119	194.456332	192.9496047	191.6040573	190.4015097	189.3260095	188.3635268	187.5016962	186.7295974	186.03757	185.4170535	184.8604514	184.3610133	183.9127334	183.5102625	183.1488314	182.824184	182.5325193	182.2704399	182.034907	181.8232014	181.6328879	181.461785	181.3079375	181.1695922	181.0451763	180.933279	180.8326336	180.7421032	180.6606666	180.5874067	180.5214995	180.4622047	180.4088568	180.360858	180.3176705	180.2788111	180.2438452	180.212382	180.18407	180.1585932	180.1356674	180.1150367	180.0964713	180.0797641	180.064729	180.0511986	180.0390221	180.0280641	180.0182024	180.0093274	180.0013402	179.9941521	179.9876831	179.9818612	179.9766216	179.9719062	179.9676624	179.963843	179.9604057	179.9573122	179.954528	179.9520224	179.9497673	179.9477377	179.9459112	179.9442673	179.9427878	179.9414562	179.9402579
DEw_EV_W_KM	200	200	200	220	215.6	211.7192	208.289349	205.2524903	202.5591671	200.1669838	198.039445	196.1450119	194.456332	192.9496047	191.6040573	190.4015097	189.3260095	188.3635268	187.5016962	186.7295974	186.03757	185.4170535	184.8604514	184.3610133	183.9127334	183.5102625	183.1488314	182.824184	182.5325193	182.2704399	182.034907	181.8232014	181.6328879	181.461785	181.3079375	181.1695922	181.0451763	180.933279	180.8326336	180.7421032	180.6606666	180.5874067	180.5214995	180.4622047	180.4088568	180.360858	180.3176705	180.2788111	180.2438452	180.212382	180.18407	180.1585932	180.1356674	180.1150367	180.0964713	180.0797641	180.064729	180.0511986	180.0390221	180.0280641	180.0182024	180.0093274	180.0013402	179.9941521	179.9876831	179.9818612	179.9766216	179.9719062	179.9676624	179.963843	179.9604057	179.9573122	179.954528	179.9520224	179.9497673	179.9477377	179.9459112	179.9442673	179.9427878	179.9414562	179.9402579
DEs_EV_W_KM	200	200	200	220	215.6	211.7192	208.289349	205.2524903	202.5591671	200.1669838	198.039445	196.1450119	194.456332	192.9496047	191.6040573	190.4015097	189.3260095	188.3635268	187.5016962	186.7295974	186.03757	185.4170535	184.8604514	184.3610133	183.9127334	183.5102625	183.1488314	182.824184	182.5325193	182.2704399	182.034907	181.8232014	181.6328879	181.461785	181.3079375	181.1695922	181.0451763	180.933279	180.8326336	180.7421032	180.6606666	180.5874067	180.5214995	180.4622047	180.4088568	180.360858	180.3176705	180.2788111	180.2438452	180.212382	180.18407	180.1585932	180.1356674	180.1150367	180.0964713	180.0797641	180.064729	180.0511986	180.0390221	180.0280641	180.0182024	180.0093274	180.0013402	179.9941521	179.9876831	179.9818612	179.9766216	179.9719062	179.9676624	179.963843	179.9604057	179.9573122	179.954528	179.9520224	179.9497673	179.9477377	179.9459112	179.9442673	179.9427878	179.9414562	179.9402579
UK_EV_W_KM	200	200	200	220	215.6	211.7192	208.289349	205.2524903	202.5591671	200.1669838	198.039445	196.1450119	194.456332	192.9496047	191.6040573	190.4015097	189.3260095	188.3635268	187.5016962	186.7295974	186.03757	185.4170535	184.8604514	184.3610133	183.9127334	183.5102625	183.1488314	182.824184	182.5325193	182.2704399	182.034907	181.8232014	181.6328879	181.461785	181.3079375	181.1695922	181.0451763	180.933279	180.8326336	180.7421032	180.6606666	180.5874067	180.5214995	180.4622047	180.4088568	180.360858	180.3176705	180.2788111	180.2438452	180.212382	180.18407	180.1585932	180.1356674	180.1150367	180.0964713	180.0797641	180.064729	180.0511986	180.0390221	180.0280641	180.0182024	180.0093274	180.0013402	179.9941521	179.9876831	179.9818612	179.9766216	179.9719062	179.9676624	179.963843	179.9604057	179.9573122	179.954528	179.9520224	179.9497673	179.9477377	179.9459112	179.9442673	179.9427878	179.9414562	179.9402579
