Start Time	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
End Time	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01
GB_HeatPump_COP	3	3	3	3	3	3	3	3	3	3	3	3.057	3.112	3.166	3.217	3.267	3.315	3.361	3.406	3.449	3.490	3.530	3.568	3.605	3.640	3.673	3.706	3.737	3.766	3.795	3.822	3.848	3.873	3.897	3.920	3.941	3.962	3.982	4.001	4.019	4.036	4.053	4.068	4.083	4.098	4.111	4.124	4.137	4.148	4.160	4.170	4.180	4.190	4.199	4.208	4.217	4.224	4.232	4.239	4.246	4.253	4.259	4.265	4.270	4.276	4.281	4.286	4.290	4.295	4.299	4.303	4.307	4.310	4.314	4.317	4.320	4.323	4.326	4.328	4.331	4.333
FR_HeatPump_COP	3	3	3	3	3	3	3	3	3	3	3	3.057	3.112	3.166	3.217	3.267	3.315	3.361	3.406	3.449	3.490	3.530	3.568	3.605	3.640	3.673	3.706	3.737	3.766	3.795	3.822	3.848	3.873	3.897	3.920	3.941	3.962	3.982	4.001	4.019	4.036	4.053	4.068	4.083	4.098	4.111	4.124	4.137	4.148	4.160	4.170	4.180	4.190	4.199	4.208	4.217	4.224	4.232	4.239	4.246	4.253	4.259	4.265	4.270	4.276	4.281	4.286	4.290	4.295	4.299	4.303	4.307	4.310	4.314	4.317	4.320	4.323	4.326	4.328	4.331	4.333
ES_HeatPump_COP	3	3	3	3	3	3	3	3	3	3	3	3.057	3.112	3.166	3.217	3.267	3.315	3.361	3.406	3.449	3.490	3.530	3.568	3.605	3.640	3.673	3.706	3.737	3.766	3.795	3.822	3.848	3.873	3.897	3.920	3.941	3.962	3.982	4.001	4.019	4.036	4.053	4.068	4.083	4.098	4.111	4.124	4.137	4.148	4.160	4.170	4.180	4.190	4.199	4.208	4.217	4.224	4.232	4.239	4.246	4.253	4.259	4.265	4.270	4.276	4.281	4.286	4.290	4.295	4.299	4.303	4.307	4.310	4.314	4.317	4.320	4.323	4.326	4.328	4.331	4.333
PT_HeatPump_COP	3	3	3	3	3	3	3	3	3	3	3	3.057	3.112	3.166	3.217	3.267	3.315	3.361	3.406	3.449	3.490	3.530	3.568	3.605	3.640	3.673	3.706	3.737	3.766	3.795	3.822	3.848	3.873	3.897	3.920	3.941	3.962	3.982	4.001	4.019	4.036	4.053	4.068	4.083	4.098	4.111	4.124	4.137	4.148	4.160	4.170	4.180	4.190	4.199	4.208	4.217	4.224	4.232	4.239	4.246	4.253	4.259	4.265	4.270	4.276	4.281	4.286	4.290	4.295	4.299	4.303	4.307	4.310	4.314	4.317	4.320	4.323	4.326	4.328	4.331	4.333
DE_HeatPump_COP	3	3	3	3	3	3	3	3	3	3	3	3.057	3.112	3.166	3.217	3.267	3.315	3.361	3.406	3.449	3.490	3.530	3.568	3.605	3.640	3.673	3.706	3.737	3.766	3.795	3.822	3.848	3.873	3.897	3.920	3.941	3.962	3.982	4.001	4.019	4.036	4.053	4.068	4.083	4.098	4.111	4.124	4.137	4.148	4.160	4.170	4.180	4.190	4.199	4.208	4.217	4.224	4.232	4.239	4.246	4.253	4.259	4.265	4.270	4.276	4.281	4.286	4.290	4.295	4.299	4.303	4.307	4.310	4.314	4.317	4.320	4.323	4.326	4.328	4.331	4.333
DEn_HeatPump_COP	3	3	3	3	3	3	3	3	3	3	3	3.057	3.112	3.166	3.217	3.267	3.315	3.361	3.406	3.449	3.490	3.530	3.568	3.605	3.640	3.673	3.706	3.737	3.766	3.795	3.822	3.848	3.873	3.897	3.920	3.941	3.962	3.982	4.001	4.019	4.036	4.053	4.068	4.083	4.098	4.111	4.124	4.137	4.148	4.160	4.170	4.180	4.190	4.199	4.208	4.217	4.224	4.232	4.239	4.246	4.253	4.259	4.265	4.270	4.276	4.281	4.286	4.290	4.295	4.299	4.303	4.307	4.310	4.314	4.317	4.320	4.323	4.326	4.328	4.331	4.333
DEs_HeatPump_COP	3	3	3	3	3	3	3	3	3	3	3	3.057	3.112	3.166	3.217	3.267	3.315	3.361	3.406	3.449	3.490	3.530	3.568	3.605	3.640	3.673	3.706	3.737	3.766	3.795	3.822	3.848	3.873	3.897	3.920	3.941	3.962	3.982	4.001	4.019	4.036	4.053	4.068	4.083	4.098	4.111	4.124	4.137	4.148	4.160	4.170	4.180	4.190	4.199	4.208	4.217	4.224	4.232	4.239	4.246	4.253	4.259	4.265	4.270	4.276	4.281	4.286	4.290	4.295	4.299	4.303	4.307	4.310	4.314	4.317	4.320	4.323	4.326	4.328	4.331	4.333
DEw_HeatPump_COP	3	3	3	3	3	3	3	3	3	3	3	3.057	3.112	3.166	3.217	3.267	3.315	3.361	3.406	3.449	3.490	3.530	3.568	3.605	3.640	3.673	3.706	3.737	3.766	3.795	3.822	3.848	3.873	3.897	3.920	3.941	3.962	3.982	4.001	4.019	4.036	4.053	4.068	4.083	4.098	4.111	4.124	4.137	4.148	4.160	4.170	4.180	4.190	4.199	4.208	4.217	4.224	4.232	4.239	4.246	4.253	4.259	4.265	4.270	4.276	4.281	4.286	4.290	4.295	4.299	4.303	4.307	4.310	4.314	4.317	4.320	4.323	4.326	4.328	4.331	4.333
NL_HeatPump_COP	3	3	3	3	3	3	3	3	3	3	3	3.057	3.112	3.166	3.217	3.267	3.315	3.361	3.406	3.449	3.490	3.530	3.568	3.605	3.640	3.673	3.706	3.737	3.766	3.795	3.822	3.848	3.873	3.897	3.920	3.941	3.962	3.982	4.001	4.019	4.036	4.053	4.068	4.083	4.098	4.111	4.124	4.137	4.148	4.160	4.170	4.180	4.190	4.199	4.208	4.217	4.224	4.232	4.239	4.246	4.253	4.259	4.265	4.270	4.276	4.281	4.286	4.290	4.295	4.299	4.303	4.307	4.310	4.314	4.317	4.320	4.323	4.326	4.328	4.331	4.333
