Start Time	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
End Time	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01
GB_HeatPump_Count	"40,000"	"80,000"	"120,000"	"160,000"	"360,000"	"610,000"	"910,000"	"1,260,000"	"1,660,000"	"2,110,000"	"2,610,000"	"3,160,000"	"3,760,000"	"4,360,000"	"4,960,000"	"5,560,000"	"6,160,000"	"6,760,000"	"7,360,000"	"7,960,000"	"8,560,000"	"9,160,000"	"9,760,000"	"10,360,000"	"10,960,000"	"11,560,000"	"12,160,000"	"12,760,000"	"13,360,000"	"13,960,000"	"14,560,000"	"15,160,000"	"15,760,000"	"16,360,000"	"16,960,000"	"17,560,000"	"18,160,000"	"18,760,000"	"19,360,000"	"19,960,000"	"20,560,000"	"21,160,000"	"21,760,000"	"22,360,000"	"22,960,000"	"23,560,000"	"24,160,000"	"24,760,000"	"25,360,000"	"25,960,000"	"26,560,000"	"27,160,000"	"27,760,000"	"28,360,000"	"28,960,000"	"29,560,000"	"30,160,000"	"30,760,000"	"31,360,000"	"31,960,000"	"32,560,000"	"33,160,000"	"33,760,000"	"34,360,000"	"34,960,000"	"35,560,000"	"36,160,000"	"36,760,000"	"37,360,000"	"37,960,000"	"38,560,000"	"39,160,000"	"39,760,000"	"40,360,000"	"40,960,000"	"41,560,000"	"42,160,000"	"42,760,000"	"43,360,000"	"43,960,000"	"44,560,000"
FR_HeatPump_Count	"40,000"	"80,000"	"120,000"	"160,000"	"200,000"	"240,000"	"280,000"	"320,000"	"520,000"	"720,000"	"920,000"	"1,120,000"	"1,320,000"	"1,520,000"	"1,720,000"	"1,920,000"	"2,120,000"	"2,320,000"	"2,520,000"	"2,720,000"	"2,920,000"	"3,120,000"	"3,320,000"	"3,520,000"	"3,720,000"	"3,920,000"	"4,120,000"	"4,320,000"	"4,520,000"	"4,720,000"	"4,920,000"	"5,120,000"	"5,320,000"	"5,520,000"	"5,720,000"	"5,920,000"	"6,120,000"	"6,320,000"	"6,520,000"	"6,720,000"	"6,920,000"	"7,120,000"	"7,320,000"	"7,520,000"	"7,720,000"	"7,920,000"	"8,120,000"	"8,320,000"	"8,520,000"	"8,720,000"	"8,920,000"	"9,120,000"	"9,320,000"	"9,520,000"	"9,720,000"	"9,920,000"	"10,120,000"	"10,320,000"	"10,520,000"	"10,720,000"	"10,920,000"	"11,120,000"	"11,320,000"	"11,520,000"	"11,720,000"	"11,920,000"	"12,120,000"	"12,320,000"	"12,520,000"	"12,720,000"	"12,920,000"	"13,120,000"	"13,320,000"	"13,520,000"	"13,720,000"	"13,920,000"	"14,120,000"	"14,320,000"	"14,520,000"	"14,720,000"	"14,920,000"
ES_HeatPump_Count	"35,000"	"70,000"	"105,000"	"140,000"	"175,000"	"210,000"	"245,000"	"280,000"	"455,000"	"630,000"	"805,000"	"980,000"	"1,155,000"	"1,330,000"	"1,505,000"	"1,680,000"	"1,855,000"	"2,030,000"	"2,205,000"	"2,380,000"	"2,555,000"	"2,730,000"	"2,905,000"	"3,080,000"	"3,255,000"	"3,430,000"	"3,605,000"	"3,780,000"	"3,955,000"	"4,130,000"	"4,305,000"	"4,480,000"	"4,655,000"	"4,830,000"	"5,005,000"	"5,180,000"	"5,355,000"	"5,530,000"	"5,705,000"	"5,880,000"	"6,055,000"	"6,230,000"	"6,405,000"	"6,580,000"	"6,755,000"	"6,930,000"	"7,105,000"	"7,280,000"	"7,455,000"	"7,630,000"	"7,805,000"	"7,980,000"	"8,155,000"	"8,330,000"	"8,505,000"	"8,680,000"	"8,855,000"	"9,030,000"	"9,205,000"	"9,380,000"	"9,555,000"	"9,730,000"	"9,905,000"	"10,080,000"	"10,255,000"	"10,430,000"	"10,605,000"	"10,780,000"	"10,955,000"	"11,130,000"	"11,305,000"	"11,480,000"	"11,655,000"	"11,830,000"	"12,005,000"	"12,180,000"	"12,355,000"	"12,530,000"	"12,705,000"	"12,880,000"	"13,055,000"
PT_HeatPump_Count	"3,500"	"7,000"	"10,500"	"14,000"	"17,500"	"21,000"	"24,500"	"28,000"	"115,500"	"203,000"	"290,500"	"378,000"	"465,500"	"553,000"	"640,500"	"728,000"	"815,500"	"903,000"	"990,500"	"1,078,000"	"1,165,500"	"1,253,000"	"1,340,500"	"1,428,000"	"1,515,500"	"1,603,000"	"1,690,500"	"1,778,000"	"1,865,500"	"1,953,000"	"2,040,500"	"2,128,000"	"2,215,500"	"2,303,000"	"2,390,500"	"2,478,000"	"2,565,500"	"2,653,000"	"2,740,500"	"2,828,000"	"2,915,500"	"3,003,000"	"3,090,500"	"3,178,000"	"3,265,500"	"3,353,000"	"3,440,500"	"3,528,000"	"3,615,500"	"3,703,000"	"3,790,500"	"3,878,000"	"3,965,500"	"4,053,000"	"4,140,500"	"4,228,000"	"4,315,500"	"4,403,000"	"4,490,500"	"4,578,000"	"4,665,500"	"4,753,000"	"4,840,500"	"4,928,000"	"5,015,500"	"5,103,000"	"5,190,500"	"5,278,000"	"5,365,500"	"5,453,000"	"5,540,500"	"5,628,000"	"5,715,500"	"5,803,000"	"5,890,500"	"5,978,000"	"6,065,500"	"6,153,000"	"6,240,500"	"6,328,000"	"6,415,500"
DE_HeatPump_Count	"45,000"	"90,000"	"135,000"	"180,000"	"1,500,000"	"2,000,000"	"2,500,000"	"3,000,000"	"3,380,952"	"3,857,143"	"4,380,952"	"4,904,762"	"5,476,190"	"5,904,762"	"6,333,333"	"6,904,762"	"7,333,333"	"7,714,286"	"8,285,714"	"8,714,286"	"9,285,714"	"9,619,048"	"10,095,238"	"10,476,190"	"10,904,762"	"11,238,095"	"11,714,286"	"12,142,857"	"12,714,286"	"13,238,095"	"13,761,905"	"14,306,441"	"14,776,360"	"14,985,213"	"15,402,920"	"15,768,413"	"15,925,052"	"15,977,266"	"16,133,906"	"16,238,332"	"16,447,185"	"16,496,527"	"16,546,016"	"16,595,655"	"16,645,441"	"16,695,378"	"16,745,464"	"16,795,700"	"16,846,087"	"16,896,626"	"16,947,316"	"16,998,158"	"17,049,152"	"17,100,299"	"17,151,600"	"17,203,055"	"17,254,664"	"17,306,428"	"17,358,348"	"17,410,423"	"17,462,654"	"17,515,042"	"17,567,587"	"17,620,290"	"17,673,151"	"17,726,170"	"17,779,349"	"17,832,687"	"17,886,185"	"17,939,843"	"17,993,663"	"18,047,644"	"18,101,787"	"18,156,092"	"18,210,560"	"18,265,192"	"18,319,988"	"18,374,948"	"18,430,072"	"18,485,363"	"18,540,819"
DEn_HeatPump_Count	"16,483"	"32,965"	"49,448"	"65,930"	"549,419"	"732,558"	"915,698"	"1,098,837"	"1,231,013"	"1,413,704"	"1,593,074"	"1,791,456"	"1,999,244"	"2,140,908"	"2,314,103"	"2,534,659"	"2,734,463"	"2,846,730"	"3,080,586"	"3,301,686"	"3,585,573"	"3,715,196"	"3,898,343"	"4,008,282"	"4,148,157"	"4,263,972"	"4,426,596"	"4,573,750"	"4,761,170"	"4,953,150"	"5,118,649"	"5,261,698"	"5,444,935"	"5,513,790"	"5,722,747"	"5,967,494"	"6,101,936"	"6,188,662"	"6,286,730"	"6,352,354"	"6,419,905"	"6,439,165"	"6,458,482"	"6,477,858"	"6,497,291"	"6,516,783"	"6,536,334"	"6,555,943"	"6,575,610"	"6,595,337"	"6,615,123"	"6,634,969"	"6,654,873"	"6,674,838"	"6,694,863"	"6,714,947"	"6,735,092"	"6,755,297"	"6,775,563"	"6,795,890"	"6,816,278"	"6,836,726"	"6,857,237"	"6,877,808"	"6,898,442"	"6,919,137"	"6,939,894"	"6,960,714"	"6,981,596"	"7,002,541"	"7,023,549"	"7,044,619"	"7,065,753"	"7,086,950"	"7,108,211"	"7,129,536"	"7,150,925"	"7,172,377"	"7,193,894"	"7,215,476"	"7,237,123"
DEs_HeatPump_Count	"18,822"	"37,643"	"56,465"	"75,286"	"627,384"	"836,512"	"1,045,640"	"1,254,767"	"1,418,960"	"1,612,670"	"1,840,000"	"2,054,782"	"2,294,785"	"2,484,144"	"2,652,692"	"2,884,268"	"3,035,254"	"3,212,587"	"3,435,385"	"3,572,316"	"3,762,093"	"3,896,542"	"4,089,951"	"4,268,820"	"4,459,359"	"4,602,921"	"4,809,875"	"4,995,611"	"5,249,056"	"5,468,064"	"5,704,549"	"5,969,530"	"6,158,741"	"6,251,139"	"6,388,914"	"6,468,606"	"6,483,257"	"6,460,478"	"6,499,136"	"6,524,746"	"6,618,005"	"6,637,859"	"6,657,773"	"6,677,746"	"6,697,779"	"6,717,872"	"6,738,026"	"6,758,240"	"6,778,515"	"6,798,850"	"6,819,247"	"6,839,705"	"6,860,224"	"6,880,804"	"6,901,447"	"6,922,151"	"6,942,918"	"6,963,746"	"6,984,638"	"7,005,592"	"7,026,608"	"7,047,688"	"7,068,831"	"7,090,038"	"7,111,308"	"7,132,642"	"7,154,040"	"7,175,502"	"7,197,028"	"7,218,619"	"7,240,275"	"7,261,996"	"7,283,782"	"7,305,633"	"7,327,550"	"7,349,533"	"7,371,582"	"7,393,696"	"7,415,877"	"7,438,125"	"7,460,439"
DEw_HeatPump_Count	"9,696"	"19,392"	"29,088"	"38,784"	"323,198"	"430,930"	"538,663"	"646,395"	"730,979"	"830,769"	"947,879"	"1,058,524"	"1,182,162"	"1,279,710"	"1,366,538"	"1,485,835"	"1,563,616"	"1,654,969"	"1,769,744"	"1,840,284"	"1,938,048"	"2,007,309"	"2,106,944"	"2,199,089"	"2,297,246"	"2,371,202"	"2,477,814"	"2,573,497"	"2,704,059"	"2,816,881"	"2,938,707"	"3,075,213"	"3,172,685"	"3,220,284"	"3,291,259"	"3,332,312"	"3,339,860"	"3,328,125"	"3,348,040"	"3,361,233"	"3,409,275"	"3,419,503"	"3,429,762"	"3,440,051"	"3,450,371"	"3,460,722"	"3,471,104"	"3,481,518"	"3,491,962"	"3,502,438"	"3,512,945"	"3,523,484"	"3,534,055"	"3,544,657"	"3,555,291"	"3,565,957"	"3,576,655"	"3,587,385"	"3,598,147"	"3,608,941"	"3,619,768"	"3,630,627"	"3,641,519"	"3,652,444"	"3,663,401"	"3,674,391"	"3,685,414"	"3,696,471"	"3,707,560"	"3,718,683"	"3,729,839"	"3,741,028"	"3,752,251"	"3,763,508"	"3,774,799"	"3,786,123"	"3,797,481"	"3,808,874"	"3,820,301"	"3,831,761"	"3,843,257"
NL_HeatPump_Count	"16,483"	"32,965"	"49,448"	"65,930"	"549,419"	"732,558"	"915,698"	"1,098,837"	"1,231,013"	"1,413,704"	"1,593,074"	"1,791,456"	"1,999,244"	"2,140,908"	"2,314,103"	"2,534,659"	"2,734,463"	"2,846,730"	"3,080,586"	"3,301,686"	"3,585,573"	"3,715,196"	"3,898,343"	"4,008,282"	"4,148,157"	"4,263,972"	"4,426,596"	"4,573,750"	"4,761,170"	"4,953,150"	"5,118,649"	"5,261,698"	"5,444,935"	"5,513,790"	"5,722,747"	"5,967,494"	"6,101,936"	"6,188,662"	"6,286,730"	"6,352,354"	"6,419,905"	"6,439,165"	"6,458,482"	"6,477,858"	"6,497,291"	"6,516,783"	"6,536,334"	"6,555,943"	"6,575,610"	"6,595,337"	"6,615,123"	"6,634,969"	"6,654,873"	"6,674,838"	"6,694,863"	"6,714,947"	"6,735,092"	"6,755,297"	"6,775,563"	"6,795,890"	"6,816,278"	"6,836,726"	"6,857,237"	"6,877,808"	"6,898,442"	"6,919,137"	"6,939,894"	"6,960,714"	"6,981,596"	"7,002,541"	"7,023,549"	"7,044,619"	"7,065,753"	"7,086,950"	"7,108,211"	"7,129,536"	"7,150,925"	"7,172,377"	"7,193,894"	"7,215,476"	"7,237,123"
