Time From	Time To	UK_Demand
2015-01-01 00:00	2015-01-01 01:00	31660.5
2015-01-01 01:00	2015-01-01 02:00	31822
2015-01-01 02:00	2015-01-01 03:00	31738.5
2015-01-01 03:00	2015-01-01 04:00	30690.5
2015-01-01 04:00	2015-01-01 05:00	28442
2015-01-01 05:00	2015-01-01 06:00	25977.5
2015-01-01 06:00	2015-01-01 07:00	24645
2015-01-01 07:00	2015-01-01 08:00	25095.5
2015-01-01 08:00	2015-01-01 09:00	25533.5
2015-01-01 09:00	2015-01-01 10:00	26746
2015-01-01 10:00	2015-01-01 11:00	29752
2015-01-01 11:00	2015-01-01 12:00	33188
2015-01-01 12:00	2015-01-01 13:00	35837
2015-01-01 13:00	2015-01-01 14:00	37485.5
2015-01-01 14:00	2015-01-01 15:00	37367
2015-01-01 15:00	2015-01-01 16:00	37061
2015-01-01 16:00	2015-01-01 17:00	37951
2015-01-01 17:00	2015-01-01 18:00	40614.5
2015-01-01 18:00	2015-01-01 19:00	41308.5
2015-01-01 19:00	2015-01-01 20:00	39920.5
2015-01-01 20:00	2015-01-01 21:00	38525.5
2015-01-01 21:00	2015-01-01 22:00	36724.5
2015-01-01 22:00	2015-01-01 23:00	33896
2015-01-01 23:00	2015-01-02 00:00	30553
2015-01-02 00:00	2015-01-02 01:00	27752
2015-01-02 01:00	2015-01-02 02:00	28597.5
2015-01-02 02:00	2015-01-02 03:00	27757.5
2015-01-02 03:00	2015-01-02 04:00	27438
2015-01-02 04:00	2015-01-02 05:00	26216.5
2015-01-02 05:00	2015-01-02 06:00	25318
2015-01-02 06:00	2015-01-02 07:00	26560.5
2015-01-02 07:00	2015-01-02 08:00	30444
2015-01-02 08:00	2015-01-02 09:00	34265.5
2015-01-02 09:00	2015-01-02 10:00	37194.5
2015-01-02 10:00	2015-01-02 11:00	39104
2015-01-02 11:00	2015-01-02 12:00	39779.5
2015-01-02 12:00	2015-01-02 13:00	40341
2015-01-02 13:00	2015-01-02 14:00	40889
2015-01-02 14:00	2015-01-02 15:00	40898.5
2015-01-02 15:00	2015-01-02 16:00	40375.5
2015-01-02 16:00	2015-01-02 17:00	41539.5
2015-01-02 17:00	2015-01-02 18:00	45532.5
2015-01-02 18:00	2015-01-02 19:00	46953.5
2015-01-02 19:00	2015-01-02 20:00	45762
2015-01-02 20:00	2015-01-02 21:00	43550.5
2015-01-02 21:00	2015-01-02 22:00	40991
2015-01-02 22:00	2015-01-02 23:00	37734
2015-01-02 23:00	2015-01-03 00:00	34360
2015-01-03 00:00	2015-01-03 01:00	31365.5
2015-01-03 01:00	2015-01-03 02:00	30559.5
2015-01-03 02:00	2015-01-03 03:00	29843.5
2015-01-03 03:00	2015-01-03 04:00	28894.5
2015-01-03 04:00	2015-01-03 05:00	27597.5
2015-01-03 05:00	2015-01-03 06:00	26360.5
2015-01-03 06:00	2015-01-03 07:00	26866
2015-01-03 07:00	2015-01-03 08:00	28752
2015-01-03 08:00	2015-01-03 09:00	31010.5
2015-01-03 09:00	2015-01-03 10:00	34401.5
2015-01-03 10:00	2015-01-03 11:00	37506.5
2015-01-03 11:00	2015-01-03 12:00	39054.5
2015-01-03 12:00	2015-01-03 13:00	39458.5
2015-01-03 13:00	2015-01-03 14:00	39619.5
2015-01-03 14:00	2015-01-03 15:00	39649.5
2015-01-03 15:00	2015-01-03 16:00	39572.5
2015-01-03 16:00	2015-01-03 17:00	40464.5
2015-01-03 17:00	2015-01-03 18:00	44098
2015-01-03 18:00	2015-01-03 19:00	45684.5
2015-01-03 19:00	2015-01-03 20:00	44505.5
2015-01-03 20:00	2015-01-03 21:00	42400
2015-01-03 21:00	2015-01-03 22:00	40145.5
2015-01-03 22:00	2015-01-03 23:00	37217
2015-01-03 23:00	2015-01-04 00:00	34085
2015-01-04 00:00	2015-01-04 01:00	31151.5
2015-01-04 01:00	2015-01-04 02:00	30823.5
2015-01-04 02:00	2015-01-04 03:00	29987
2015-01-04 03:00	2015-01-04 04:00	29122.5
2015-01-04 04:00	2015-01-04 05:00	27866.5
2015-01-04 05:00	2015-01-04 06:00	26854
2015-01-04 06:00	2015-01-04 07:00	26824
2015-01-04 07:00	2015-01-04 08:00	27818
2015-01-04 08:00	2015-01-04 09:00	29049
2015-01-04 09:00	2015-01-04 10:00	31485
2015-01-04 10:00	2015-01-04 11:00	35388.5
2015-01-04 11:00	2015-01-04 12:00	38200
2015-01-04 12:00	2015-01-04 13:00	39311
2015-01-04 13:00	2015-01-04 14:00	39719.5
2015-01-04 14:00	2015-01-04 15:00	39822
2015-01-04 15:00	2015-01-04 16:00	39922.5
2015-01-04 16:00	2015-01-04 17:00	41844
2015-01-04 17:00	2015-01-04 18:00	46124
2015-01-04 18:00	2015-01-04 19:00	47562.5
2015-01-04 19:00	2015-01-04 20:00	46304
2015-01-04 20:00	2015-01-04 21:00	44237
2015-01-04 21:00	2015-01-04 22:00	42035.5
2015-01-04 22:00	2015-01-04 23:00	38468.5
2015-01-04 23:00	2015-01-05 00:00	34567
2015-01-05 00:00	2015-01-05 01:00	30930.5
2015-01-05 01:00	2015-01-05 02:00	30293.5
2015-01-05 02:00	2015-01-05 03:00	29722.5
2015-01-05 03:00	2015-01-05 04:00	28866
2015-01-05 04:00	2015-01-05 05:00	27822
2015-01-05 05:00	2015-01-05 06:00	27502
2015-01-05 06:00	2015-01-05 07:00	29662
2015-01-05 07:00	2015-01-05 08:00	36439.5
2015-01-05 08:00	2015-01-05 09:00	42633
2015-01-05 09:00	2015-01-05 10:00	44296.5
2015-01-05 10:00	2015-01-05 11:00	45226
2015-01-05 11:00	2015-01-05 12:00	45610.5
2015-01-05 12:00	2015-01-05 13:00	46079.5
2015-01-05 13:00	2015-01-05 14:00	46466.5
2015-01-05 14:00	2015-01-05 15:00	46532
2015-01-05 15:00	2015-01-05 16:00	46425
2015-01-05 16:00	2015-01-05 17:00	47318.5
2015-01-05 17:00	2015-01-05 18:00	51091
2015-01-05 18:00	2015-01-05 19:00	52063.5
2015-01-05 19:00	2015-01-05 20:00	51148.5
2015-01-05 20:00	2015-01-05 21:00	49166
2015-01-05 21:00	2015-01-05 22:00	46425
2015-01-05 22:00	2015-01-05 23:00	42145.5
2015-01-05 23:00	2015-01-06 00:00	37307.5
2015-01-06 00:00	2015-01-06 01:00	33207.5
2015-01-06 01:00	2015-01-06 02:00	32014
2015-01-06 02:00	2015-01-06 03:00	31044.5
2015-01-06 03:00	2015-01-06 04:00	30632
2015-01-06 04:00	2015-01-06 05:00	29484
2015-01-06 05:00	2015-01-06 06:00	28412.5
2015-01-06 06:00	2015-01-06 07:00	30319.5
2015-01-06 07:00	2015-01-06 08:00	36719
2015-01-06 08:00	2015-01-06 09:00	43014
2015-01-06 09:00	2015-01-06 10:00	44125
2015-01-06 10:00	2015-01-06 11:00	44949
2015-01-06 11:00	2015-01-06 12:00	45319
2015-01-06 12:00	2015-01-06 13:00	45644
2015-01-06 13:00	2015-01-06 14:00	45575.5
2015-01-06 14:00	2015-01-06 15:00	45695.5
2015-01-06 15:00	2015-01-06 16:00	45561.5
2015-01-06 16:00	2015-01-06 17:00	46577.5
2015-01-06 17:00	2015-01-06 18:00	50673.5
2015-01-06 18:00	2015-01-06 19:00	51579
2015-01-06 19:00	2015-01-06 20:00	50818
2015-01-06 20:00	2015-01-06 21:00	48804
2015-01-06 21:00	2015-01-06 22:00	46175.5
2015-01-06 22:00	2015-01-06 23:00	41833.5
2015-01-06 23:00	2015-01-07 00:00	37140.5
2015-01-07 00:00	2015-01-07 01:00	33066.5
2015-01-07 01:00	2015-01-07 02:00	32351.5
2015-01-07 02:00	2015-01-07 03:00	31887.5
2015-01-07 03:00	2015-01-07 04:00	31375.5
2015-01-07 04:00	2015-01-07 05:00	29694.5
2015-01-07 05:00	2015-01-07 06:00	28228
2015-01-07 06:00	2015-01-07 07:00	30278
2015-01-07 07:00	2015-01-07 08:00	37042.5
2015-01-07 08:00	2015-01-07 09:00	43690
2015-01-07 09:00	2015-01-07 10:00	44789
2015-01-07 10:00	2015-01-07 11:00	45464
2015-01-07 11:00	2015-01-07 12:00	45701.5
2015-01-07 12:00	2015-01-07 13:00	46164.5
2015-01-07 13:00	2015-01-07 14:00	46718
2015-01-07 14:00	2015-01-07 15:00	46739.5
2015-01-07 15:00	2015-01-07 16:00	46520
2015-01-07 16:00	2015-01-07 17:00	47854.5
2015-01-07 17:00	2015-01-07 18:00	51151.5
2015-01-07 18:00	2015-01-07 19:00	51742.5
2015-01-07 19:00	2015-01-07 20:00	51180
2015-01-07 20:00	2015-01-07 21:00	49000.5
2015-01-07 21:00	2015-01-07 22:00	45986
2015-01-07 22:00	2015-01-07 23:00	41776.5
2015-01-07 23:00	2015-01-08 00:00	37518.5
2015-01-08 00:00	2015-01-08 01:00	33764
2015-01-08 01:00	2015-01-08 02:00	31538.5
2015-01-08 02:00	2015-01-08 03:00	31070
2015-01-08 03:00	2015-01-08 04:00	30488.5
2015-01-08 04:00	2015-01-08 05:00	29248
