Object_Name	Object_Type
ES PVSAT 1073 42.0 -7.5 Generator	Generator
ES PVSAT 1073 42.0 -7.5 Capacity Factor	Variable
ES PVSAT 1073 42.0 -7.5 File	DataSource
ES PVSAT 1073 42.0 -7.5 TS	DBTimeSeries
ES PVSAT 1080 42.0 -3.125 Generator	Generator
ES PVSAT 1080 42.0 -3.125 Capacity Factor	Variable
ES PVSAT 1080 42.0 -3.125 File	DataSource
ES PVSAT 1080 42.0 -3.125 TS	DBTimeSeries
ES PVSAT 1088 42.0 1.875 Generator	Generator
ES PVSAT 1088 42.0 1.875 Capacity Factor	Variable
ES PVSAT 1088 42.0 1.875 File	DataSource
ES PVSAT 1088 42.0 1.875 TS	DBTimeSeries
ES PVSAT 1165 42.5 -5.625 Generator	Generator
ES PVSAT 1165 42.5 -5.625 Capacity Factor	Variable
ES PVSAT 1165 42.5 -5.625 File	DataSource
ES PVSAT 1165 42.5 -5.625 TS	DBTimeSeries
ES PVSAT 1172 42.5 -1.25 Generator	Generator
ES PVSAT 1172 42.5 -1.25 Capacity Factor	Variable
ES PVSAT 1172 42.5 -1.25 File	DataSource
ES PVSAT 1172 42.5 -1.25 TS	DBTimeSeries
ES PVSAT 1176 42.5 1.25 Generator	Generator
ES PVSAT 1176 42.5 1.25 Capacity Factor	Variable
ES PVSAT 1176 42.5 1.25 File	DataSource
ES PVSAT 1176 42.5 1.25 TS	DBTimeSeries
ES PVSAT 1250 43.0 -8.125 Generator	Generator
ES PVSAT 1250 43.0 -8.125 Capacity Factor	Variable
ES PVSAT 1250 43.0 -8.125 File	DataSource
ES PVSAT 1250 43.0 -8.125 TS	DBTimeSeries
ES PVSAT 1253 43.0 -6.25 Generator	Generator
ES PVSAT 1253 43.0 -6.25 Capacity Factor	Variable
ES PVSAT 1253 43.0 -6.25 File	DataSource
ES PVSAT 1253 43.0 -6.25 TS	DBTimeSeries
ES PVSAT 1258 43.0 -3.125 Generator	Generator
ES PVSAT 1258 43.0 -3.125 Capacity Factor	Variable
ES PVSAT 1258 43.0 -3.125 File	DataSource
ES PVSAT 1258 43.0 -3.125 TS	DBTimeSeries
ES PVSAT 186 37.0 -5.625 Generator	Generator
