Object_Name	Object_Type
ES Offshore 100 36.5 -3.75 WSc	Variable
ES Offshore 100 36.5 -3.75 Base Wind Speed	Variable
ES Offshore 100 36.5 -3.75 100M Generator LWST	Generator
ES Offshore 100 36.5 -3.75 100M Generator LWST Hub Height	Variable
ES Offshore 100 36.5 -3.75 100M Generator LWST CRF	Variable
ES Offshore 100 36.5 -3.75 100M Generator NWST	Generator
ES Offshore 100 36.5 -3.75 100M Generator NWST Hub Height	Variable
ES Offshore 100 36.5 -3.75 100M Generator NWST CRF	Variable
ES Offshore 100 36.5 -3.75 100M Generator HWST	Generator
ES Offshore 100 36.5 -3.75 100M Generator HWST Hub Height	Variable
ES Offshore 100 36.5 -3.75 100M Generator HWST CRF	Variable
ES Offshore 100 36.5 -3.75 100M Windspeed	Variable
ES Offshore 100 36.5 -3.75 100M HHxWS	Variable
ES Offshore 100 36.5 -3.75 100M HHxWSc	Variable
ES Offshore 100 36.5 -3.75 100M HHc	Variable
ES Offshore 100 36.5 -3.75 100M WSc	Variable
ES Offshore 100 36.5 -3.75 100M HHxWSc+HHc	Variable
ES Offshore 100 36.5 -3.75 100M HHxWSc+HHc+WSc	Variable
ES Offshore 100 36.5 -3.75 100M HHxWSc+HHc+WSc+C	Variable
ES Offshore 100 36.5 -3.75 130M Generator LWST	Generator
ES Offshore 100 36.5 -3.75 130M Generator LWST Hub Height	Variable
ES Offshore 100 36.5 -3.75 130M Generator LWST CRF	Variable
ES Offshore 100 36.5 -3.75 130M Generator NWST	Generator
ES Offshore 100 36.5 -3.75 130M Generator NWST Hub Height	Variable
ES Offshore 100 36.5 -3.75 130M Generator NWST CRF	Variable
ES Offshore 100 36.5 -3.75 130M Generator HWST	Generator
ES Offshore 100 36.5 -3.75 130M Generator HWST Hub Height	Variable
ES Offshore 100 36.5 -3.75 130M Generator HWST CRF	Variable
ES Offshore 100 36.5 -3.75 130M Windspeed	Variable
ES Offshore 100 36.5 -3.75 130M HHxWS	Variable
ES Offshore 100 36.5 -3.75 130M HHxWSc	Variable
ES Offshore 100 36.5 -3.75 130M HHc	Variable
ES Offshore 100 36.5 -3.75 130M WSc	Variable
ES Offshore 100 36.5 -3.75 130M HHxWSc+HHc	Variable
ES Offshore 100 36.5 -3.75 130M HHxWSc+HHc+WSc	Variable
ES Offshore 100 36.5 -3.75 130M HHxWSc+HHc+WSc+C	Variable
ES Offshore 100 36.5 -3.75 160M Generator LWST	Generator
ES Offshore 100 36.5 -3.75 160M Generator LWST Hub Height	Variable
ES Offshore 100 36.5 -3.75 160M Generator LWST CRF	Variable
ES Offshore 100 36.5 -3.75 160M Generator NWST	Generator
ES Offshore 100 36.5 -3.75 160M Generator NWST Hub Height	Variable
ES Offshore 100 36.5 -3.75 160M Generator NWST CRF	Variable
ES Offshore 100 36.5 -3.75 160M Generator HWST	Generator
ES Offshore 100 36.5 -3.75 160M Generator HWST Hub Height	Variable
ES Offshore 100 36.5 -3.75 160M Generator HWST CRF	Variable
ES Offshore 100 36.5 -3.75 160M Windspeed	Variable
ES Offshore 100 36.5 -3.75 160M HHxWS	Variable
ES Offshore 100 36.5 -3.75 160M HHxWSc	Variable
ES Offshore 100 36.5 -3.75 160M HHc	Variable
ES Offshore 100 36.5 -3.75 160M WSc	Variable
ES Offshore 100 36.5 -3.75 160M HHxWSc+HHc	Variable
ES Offshore 100 36.5 -3.75 160M HHxWSc+HHc+WSc	Variable
ES Offshore 100 36.5 -3.75 160M HHxWSc+HHc+WSc+C	Variable
ES Offshore 100 36.5 -3.75 Windspeed	Variable
ES Offshore 100 36.5 -3.75 File	DataSource
ES Offshore 100 36.5 -3.75 TS	DBTimeSeries
ES Offshore 1002 41.5 3.75 WSc	Variable
ES Offshore 1002 41.5 3.75 Base Wind Speed	Variable
ES Offshore 1002 41.5 3.75 100M Generator LWST	Generator
ES Offshore 1002 41.5 3.75 100M Generator LWST Hub Height	Variable
ES Offshore 1002 41.5 3.75 100M Generator LWST CRF	Variable
