Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
ES Daily Demand Stochastic			Value	2010-01-01	2100-01-01	ES Daily Demand Stochastic File	ES Base Demand	Multiply					
ES Demand DIY			Value	2010-01-01	2100-01-01	ES Demand DIY File	ES Daily Demand Stochastic	Multiply					
ES Demand DOW			Value	2010-01-01	2100-01-01	ES Demand DOW File	ES Demand DIY	Multiply					
ES Demand HOD			Value	2010-01-01	2100-01-01	ES Demand HOD File	ES Demand DOW	Multiply					
ES Demand Historic Day Ahead			Value	2010-01-01	2100-01-01	ES Demand Historic Day Ahead File							
ES Base Demand			Value	2010-01-01	2100-01-01	Base Demand File							
ES Demand			Bid Volume	2010-01-01	2100-01-01	ES Demand HOD	ES DSR Adjustment	Add			1	1	
ES Demand			Bid Price	2010-01-01	2100-01-01	100000					1	1	
ES DSR Bid Volume 2017			Value	2017-01-01	2100-01-01	760							
ES Demand			Bid Volume	2017-01-01	2100-01-01	ES DSR Bid Volume 2017					2	2	
ES DSR Bid Price 2017			Value	2017-01-01	2100-01-01	400							
ES Demand			Bid Price	2017-01-01	2100-01-01	ES DSR Bid Price 2017					2	2	
ES DSR Adjustment			Value	2017-01-01	2100-01-01	-760							
ES DSR Bid Volume 2018			Value	2018-01-01	2100-01-01	60							
ES Demand			Bid Volume	2018-01-01	2100-01-01	ES DSR Bid Volume 2018					3	3	
ES DSR Bid Price 2018			Value	2018-01-01	2100-01-01	575.5							
ES Demand			Bid Price	2018-01-01	2100-01-01	ES DSR Bid Price 2018					3	3	
ES DSR Adjustment			Value	2018-01-01	2100-01-01	-820							
ES DSR Bid Volume 2019			Value	2019-01-01	2100-01-01	60							
ES Demand			Bid Volume	2019-01-01	2100-01-01	ES DSR Bid Volume 2019					4	4	
ES DSR Bid Price 2019			Value	2019-01-01	2100-01-01	405							
ES Demand			Bid Price	2019-01-01	2100-01-01	ES DSR Bid Price 2019					4	4	
ES DSR Adjustment			Value	2019-01-01	2100-01-01	-880							
ES DSR Bid Volume 2020			Value	2020-01-01	2100-01-01	60							
ES Demand			Bid Volume	2020-01-01	2100-01-01	ES DSR Bid Volume 2020					5	5	
ES DSR Bid Price 2020			Value	2020-01-01	2100-01-01	570.5							
ES Demand			Bid Price	2020-01-01	2100-01-01	ES DSR Bid Price 2020					5	5	
ES DSR Adjustment			Value	2020-01-01	2100-01-01	-940							
ES DSR Bid Volume 2021			Value	2021-01-01	2100-01-01	60							
ES Demand			Bid Volume	2021-01-01	2100-01-01	ES DSR Bid Volume 2021					6	6	
ES DSR Bid Price 2021			Value	2021-01-01	2100-01-01	410							
ES Demand			Bid Price	2021-01-01	2100-01-01	ES DSR Bid Price 2021					6	6	
ES DSR Adjustment			Value	2021-01-01	2100-01-01	-1000							
ES DSR Bid Volume 2022			Value	2022-01-01	2100-01-01	60							
ES Demand			Bid Volume	2022-01-01	2100-01-01	ES DSR Bid Volume 2022					7	7	
ES DSR Bid Price 2022			Value	2022-01-01	2100-01-01	565.5							
ES Demand			Bid Price	2022-01-01	2100-01-01	ES DSR Bid Price 2022					7	7	
ES DSR Adjustment			Value	2022-01-01	2100-01-01	-1060							
ES DSR Bid Volume 2023			Value	2023-01-01	2100-01-01	60							
ES Demand			Bid Volume	2023-01-01	2100-01-01	ES DSR Bid Volume 2023					8	8	
ES DSR Bid Price 2023			Value	2023-01-01	2100-01-01	415							
ES Demand			Bid Price	2023-01-01	2100-01-01	ES DSR Bid Price 2023					8	8	
ES DSR Adjustment			Value	2023-01-01	2100-01-01	-1120							
ES DSR Bid Volume 2024			Value	2024-01-01	2100-01-01	60							
ES Demand			Bid Volume	2024-01-01	2100-01-01	ES DSR Bid Volume 2024					9	9	
ES DSR Bid Price 2024			Value	2024-01-01	2100-01-01	560.5							
ES Demand			Bid Price	2024-01-01	2100-01-01	ES DSR Bid Price 2024					9	9	
ES DSR Adjustment			Value	2024-01-01	2100-01-01	-1180							
ES DSR Bid Volume 2025			Value	2025-01-01	2100-01-01	60							
ES Demand			Bid Volume	2025-01-01	2100-01-01	ES DSR Bid Volume 2025					10	10	
