Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
ES Almaraz NPP I			Bid Up Heat Rate	1990-01-01	2100-01-01	0							
ES Almaraz NPP I			Bid Up Price	1990-01-01	2100-01-01	1							
ES Almaraz NPP I			Capacity	1990-01-01	2027-01-01	1046	ES Availability Nuclear	Multiply					
ES Almaraz NPP I			Capacity	2027-01-01	2100-01-01	0							
ES Almaraz NPP I			Fuel	1990-01-01	2100-01-01	ES Station Uranium							
ES Almaraz NPP I			Marginal Heat Rate	1990-01-01	2100-01-01	9							
ES Almaraz NPP I			Minimum Load	1990-01-01	2100-01-01	523							
ES Almaraz NPP I			Minimum Load Bid Up Heat Rate	1990-01-01	2100-01-01	-27							
ES Almaraz NPP I			Minimum Load Bid Up Price	1990-01-01	2100-01-01	0							
ES Almaraz NPP I			Variable Cost	1990-01-01	2100-01-01	1.5							
ES Almaraz NPP II			Bid Up Heat Rate	1990-01-01	2100-01-01	0							
ES Almaraz NPP II			Bid Up Price	1990-01-01	2100-01-01	2							
ES Almaraz NPP II			Capacity	1990-01-01	2028-01-01	1046	ES Availability Nuclear	Multiply					
ES Almaraz NPP II			Capacity	2028-01-01	2100-01-01	0							
ES Almaraz NPP II			Fuel	1990-01-01	2100-01-01	ES Station Uranium							
ES Almaraz NPP II			Marginal Heat Rate	1990-01-01	2100-01-01	9							
ES Almaraz NPP II			Minimum Load	1990-01-01	2100-01-01	523							
ES Almaraz NPP II			Minimum Load Bid Up Heat Rate	1990-01-01	2100-01-01	-26							
ES Almaraz NPP II			Minimum Load Bid Up Price	1990-01-01	2100-01-01	0							
ES Almaraz NPP II			Variable Cost	1990-01-01	2100-01-01	1.5							
ES Asco Unit I			Bid Up Heat Rate	1990-01-01	2100-01-01	0							
ES Asco Unit I			Bid Up Price	1990-01-01	2100-01-01	3							
ES Asco Unit I			Capacity	1990-01-01	2033-01-01	1030	ES Availability Nuclear	Multiply					
ES Asco Unit I			Capacity	2033-01-01	2100-01-01	0							
ES Asco Unit I			Fuel	1990-01-01	2100-01-01	ES Station Uranium							
ES Asco Unit I			Marginal Heat Rate	1990-01-01	2100-01-01	9							
ES Asco Unit I			Minimum Load	1990-01-01	2100-01-01	515							
ES Asco Unit I			Minimum Load Bid Up Heat Rate	1990-01-01	2100-01-01	-25							
ES Asco Unit I			Minimum Load Bid Up Price	1990-01-01	2100-01-01	0							
ES Asco Unit I			Variable Cost	1990-01-01	2100-01-01	1.5							
ES Asco Unit II			Bid Up Heat Rate	1990-01-01	2100-01-01	0							
ES Asco Unit II			Bid Up Price	1990-01-01	2100-01-01	4							
ES Asco Unit II			Capacity	1990-01-01	2035-01-01	1030	ES Availability Nuclear	Multiply					
ES Asco Unit II			Capacity	2035-01-01	2100-01-01	0							
ES Asco Unit II			Fuel	1990-01-01	2100-01-01	ES Station Uranium							
ES Asco Unit II			Marginal Heat Rate	1990-01-01	2100-01-01	9							
ES Asco Unit II			Minimum Load	1990-01-01	2100-01-01	515							
ES Asco Unit II			Minimum Load Bid Up Heat Rate	1990-01-01	2100-01-01	-24							
ES Asco Unit II			Minimum Load Bid Up Price	1990-01-01	2100-01-01	0							
ES Asco Unit II			Variable Cost	1990-01-01	2100-01-01	1.5							
ES Barcelona power station I			Bid Up Heat Rate	1994-01-01	2100-01-01	0							
ES Barcelona power station I			Bid Up Price	1994-01-01	2100-01-01	0							
ES Barcelona power station I			Capacity	1994-01-01	2100-01-01	425	ES Availability CCGT	Multiply					
ES Barcelona power station I			Fuel	1994-01-01	2100-01-01	ES Station Gas							
ES Barcelona power station I			Marginal Heat Rate	1994-01-01	2100-01-01	6.545454545							
ES Barcelona power station I			Minimum Load	1994-01-01	2100-01-01	148.75							
ES Barcelona power station I			Minimum Load Bid Up Heat Rate	1994-01-01	2100-01-01	0							
ES Barcelona power station I			Minimum Load Bid Up Price	1994-01-01	2100-01-01	0							
ES Barcelona power station I			Variable Cost	1994-01-01	2100-01-01	0.3							
ES Barcelona power station II			Bid Up Heat Rate	1990-01-01	2100-01-01	0							
ES Barcelona power station II			Bid Up Price	1990-01-01	2100-01-01	0							
ES Barcelona power station II			Capacity	1990-01-01	2100-01-01	425	ES Availability CCGT	Multiply					
ES Barcelona power station II			Fuel	1990-01-01	2100-01-01	ES Station Gas							
ES Barcelona power station II			Marginal Heat Rate	1990-01-01	2100-01-01	6.428571429							
ES Barcelona power station II			Minimum Load	1990-01-01	2100-01-01	148.75							
ES Barcelona power station II			Minimum Load Bid Up Heat Rate	1990-01-01	2100-01-01	0							
ES Barcelona power station II			Minimum Load Bid Up Price	1990-01-01	2100-01-01	0							
ES Barcelona power station II			Variable Cost	1990-01-01	2100-01-01	0.3							
ES Besos power station I			Bid Up Heat Rate	1990-01-01	2100-01-01	0							
ES Besos power station I			Bid Up Price	1990-01-01	2100-01-01	0							
ES Besos power station I			Capacity	1990-01-01	2100-01-01	400	ES Availability CCGT	Multiply					
ES Besos power station I			Fuel	1990-01-01	2100-01-01	ES Station Gas							
ES Besos power station I			Marginal Heat Rate	1990-01-01	2100-01-01	6.315789474							
ES Besos power station I			Minimum Load	1990-01-01	2100-01-01	140							
ES Besos power station I			Minimum Load Bid Up Heat Rate	1990-01-01	2100-01-01	0							
ES Besos power station I			Minimum Load Bid Up Price	1990-01-01	2100-01-01	0							
ES Besos power station I			Variable Cost	1990-01-01	2100-01-01	0.3							
ES Besos power station II			Bid Up Heat Rate	1990-01-01	2100-01-01	0							
ES Besos power station II			Bid Up Price	1990-01-01	2100-01-01	0							
ES Besos power station II			Capacity	1990-01-01	2100-01-01	400	ES Availability CCGT	Multiply					
ES Besos power station II			Fuel	1990-01-01	2100-01-01	ES Station Gas							
ES Besos power station II			Marginal Heat Rate	1990-01-01	2100-01-01	6.206896552							
ES Besos power station II			Minimum Load	1990-01-01	2100-01-01	140							
ES Besos power station II			Minimum Load Bid Up Heat Rate	1990-01-01	2100-01-01	0							
ES Besos power station II			Minimum Load Bid Up Price	1990-01-01	2100-01-01	0							
ES Besos power station II			Variable Cost	1990-01-01	2100-01-01	0.3							
ES Besos V power station I			Bid Up Heat Rate	1990-01-01	2100-01-01	0							
ES Besos V power station I			Bid Up Price	1990-01-01	2100-01-01	0							
ES Besos V power station I			Capacity	1990-01-01	2100-01-01	400	ES Availability CCGT	Multiply					
ES Besos V power station I			Fuel	1990-01-01	2100-01-01	ES Station Gas							
ES Besos V power station I			Marginal Heat Rate	1990-01-01	2100-01-01	6.101694915							
ES Besos V power station I			Minimum Load	1990-01-01	2100-01-01	140							
ES Besos V power station I			Minimum Load Bid Up Heat Rate	1990-01-01	2100-01-01	0							
ES Besos V power station I			Minimum Load Bid Up Price	1990-01-01	2100-01-01	0							
ES Besos V power station I			Variable Cost	1990-01-01	2100-01-01	0.3							
ES Besos V power station II			Bid Up Heat Rate	1990-01-01	2100-01-01	0							
ES Besos V power station II			Bid Up Price	1990-01-01	2100-01-01	0							
ES Besos V power station II			Capacity	1990-01-01	2100-01-01	400	ES Availability CCGT	Multiply					
ES Besos V power station II			Fuel	1990-01-01	2100-01-01	ES Station Gas							
ES Besos V power station II			Marginal Heat Rate	1990-01-01	2100-01-01	6							
ES Besos V power station II			Minimum Load	1990-01-01	2100-01-01	140							
ES Besos V power station II			Minimum Load Bid Up Heat Rate	1990-01-01	2100-01-01	0							
ES Besos V power station II			Minimum Load Bid Up Price	1990-01-01	2100-01-01	0							
ES Besos V power station II			Variable Cost	1990-01-01	2100-01-01	0.3							
ES Biomass 1990			Bid Up Heat Rate	1990-01-01	2100-01-01	0							
ES Biomass 1990			Bid Up Price	1990-01-01	2100-01-01	0							
ES Biomass 1990			Capacity	1990-01-01	2100-01-01	250	ES Availability Biomass	Multiply					
ES Biomass 1990			Fuel	1990-01-01	2100-01-01	ES Station Biomass							
ES Biomass 1990			Marginal Heat Rate	1990-01-01	2100-01-01	10.52631579							
ES Biomass 1990			Minimum Load	1990-01-01	2100-01-01	0							
ES Biomass 1990			Minimum Load Bid Up Heat Rate	1990-01-01	2100-01-01	0							
ES Biomass 1990			Minimum Load Bid Up Price	1990-01-01	2100-01-01	0							
ES Biomass 1990			Variable Cost	1990-01-01	2100-01-01	1							
ES Biomass 1995			Bid Up Heat Rate	1995-01-01	2100-01-01	0							
ES Biomass 1995			Bid Up Price	1995-01-01	2100-01-01	0							
ES Biomass 1995			Capacity	1995-01-01	2100-01-01	250	ES Availability Biomass	Multiply					
ES Biomass 1995			Fuel	1995-01-01	2100-01-01	ES Station Biomass							
ES Biomass 1995			Marginal Heat Rate	1995-01-01	2100-01-01	10.46511628							
ES Biomass 1995			Minimum Load	1995-01-01	2100-01-01	0							
ES Biomass 1995			Minimum Load Bid Up Heat Rate	1995-01-01	2100-01-01	0							
ES Biomass 1995			Minimum Load Bid Up Price	1995-01-01	2100-01-01	0							
ES Biomass 1995			Variable Cost	1995-01-01	2100-01-01	1							
ES Biomass 2000			Bid Up Heat Rate	2000-01-01	2100-01-01	0							
ES Biomass 2000			Bid Up Price	2000-01-01	2100-01-01	0							
ES Biomass 2000			Capacity	2000-01-01	2100-01-01	250	ES Availability Biomass	Multiply					
ES Biomass 2000			Fuel	2000-01-01	2100-01-01	ES Station Biomass							
ES Biomass 2000			Marginal Heat Rate	2000-01-01	2100-01-01	10.40462428							
ES Biomass 2000			Minimum Load	2000-01-01	2100-01-01	0							
ES Biomass 2000			Minimum Load Bid Up Heat Rate	2000-01-01	2100-01-01	0							
ES Biomass 2000			Minimum Load Bid Up Price	2000-01-01	2100-01-01	0							
ES Biomass 2000			Variable Cost	2000-01-01	2100-01-01	1							
ES Biomass 2005			Bid Up Heat Rate	2005-01-01	2100-01-01	0							
ES Biomass 2005			Bid Up Price	2005-01-01	2100-01-01	0							
ES Biomass 2005			Capacity	2005-01-01	2100-01-01	250	ES Availability Biomass	Multiply					
