Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
ES Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	1			
ES Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	2			
ES Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	3			
ES Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	4			
ES Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	5			
ES Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	6			
ES Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	7			
ES Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	8			
ES Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	9			
ES Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	10			
ES Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	11			
ES Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	12			
ES Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	1			
ES Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	2			
ES Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	3			
ES Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	4			
ES Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	5			
ES Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	6			
ES Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	7			
ES Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	8			
ES Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	9			
ES Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	10			
ES Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	11			
ES Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	12			
ES Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	1			
ES Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	2			
ES Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	3			
ES Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	4			
ES Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	5			
ES Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	6			
ES Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	7			
ES Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	8			
ES Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	9			
ES Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	10			
ES Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	11			
ES Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	12			
ES Availability Biomass			Value	2010-01-01	2100-01-01	0.85			M	1			
ES Availability Biomass			Value	2010-01-01	2100-01-01	0.85			M	2			
ES Availability Biomass			Value	2010-01-01	2100-01-01	0.85			M	3			
ES Availability Biomass			Value	2010-01-01	2100-01-01	0.85			M	4			
ES Availability Biomass			Value	2010-01-01	2100-01-01	0.85			M	5			
ES Availability Biomass			Value	2010-01-01	2100-01-01	0.85			M	6			
ES Availability Biomass			Value	2010-01-01	2100-01-01	0.85			M	7			
ES Availability Biomass			Value	2010-01-01	2100-01-01	0.85			M	8			
ES Availability Biomass			Value	2010-01-01	2100-01-01	0.85			M	9			
ES Availability Biomass			Value	2010-01-01	2100-01-01	0.85			M	10			
ES Availability Biomass			Value	2010-01-01	2100-01-01	0.85			M	11			
ES Availability Biomass			Value	2010-01-01	2100-01-01	0.85			M	12			
ES Availability Lignite			Value	2010-01-01	2100-01-01	0.8			M	1			
ES Availability Lignite			Value	2010-01-01	2100-01-01	0.8			M	2			
ES Availability Lignite			Value	2010-01-01	2100-01-01	0.8			M	3			
ES Availability Lignite			Value	2010-01-01	2100-01-01	0.8			M	4			
ES Availability Lignite			Value	2010-01-01	2100-01-01	0.8			M	5			
ES Availability Lignite			Value	2010-01-01	2100-01-01	0.8			M	6			
ES Availability Lignite			Value	2010-01-01	2100-01-01	0.8			M	7			
ES Availability Lignite			Value	2010-01-01	2100-01-01	0.8			M	8			
ES Availability Lignite			Value	2010-01-01	2100-01-01	0.8			M	9			
ES Availability Lignite			Value	2010-01-01	2100-01-01	0.8			M	10			
ES Availability Lignite			Value	2010-01-01	2100-01-01	0.8			M	11			
ES Availability Lignite			Value	2010-01-01	2100-01-01	0.8			M	12			
ES Availability Nuclear			Value	2010-01-01	2100-01-01	0.8			M	1			
ES Availability Nuclear			Value	2010-01-01	2100-01-01	0.8			M	2			
ES Availability Nuclear			Value	2010-01-01	2100-01-01	0.8			M	3			
ES Availability Nuclear			Value	2010-01-01	2100-01-01	0.8			M	4			
ES Availability Nuclear			Value	2010-01-01	2100-01-01	0.8			M	5			
ES Availability Nuclear			Value	2010-01-01	2100-01-01	0.8			M	6			
ES Availability Nuclear			Value	2010-01-01	2100-01-01	0.8			M	7			
