Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
ES Hydro Price l10 p1			Value	2010-01-01	2100-01-01	ES Station Gas	35.71428571	Multiply					
ES Hydro Price l10 p2			Value	2010-01-01	2100-01-01	ES Station Gas	35.71428571	Multiply					
ES Hydro Price l10 p3			Value	2010-01-01	2100-01-01	ES Station Gas	35.71428571	Multiply					
ES Hydro Price l10 p4			Value	2010-01-01	2100-01-01	ES Station Gas	35.71428571	Multiply					
ES Hydro Price l10 p5			Value	2010-01-01	2100-01-01	ES Station Gas	35.71428571	Multiply					
ES Hydro Price l20 p1			Value	2010-01-01	2100-01-01	ES Station Gas	4.729697815	Multiply					
ES Hydro Price l20 p2			Value	2010-01-01	2100-01-01	ES Station Gas	5.372554958	Multiply					
ES Hydro Price l20 p3			Value	2010-01-01	2100-01-01	ES Station Gas	6.515412101	Multiply					
ES Hydro Price l20 p4			Value	2010-01-01	2100-01-01	ES Station Gas	8.301126387	Multiply					
ES Hydro Price l20 p5			Value	2010-01-01	2100-01-01	ES Station Gas	10.87255496	Multiply					
ES Hydro Price l30 p1			Value	2010-01-01	2100-01-01	ES Station Gas	4.41123122	Multiply					
ES Hydro Price l30 p2			Value	2010-01-01	2100-01-01	ES Station Gas	5.054088362	Multiply					
ES Hydro Price l30 p3			Value	2010-01-01	2100-01-01	ES Station Gas	6.196945505	Multiply					
ES Hydro Price l30 p4			Value	2010-01-01	2100-01-01	ES Station Gas	7.982659791	Multiply					
ES Hydro Price l30 p5			Value	2010-01-01	2100-01-01	ES Station Gas	10.55408836	Multiply					
ES Hydro Price l40 p1			Value	2010-01-01	2100-01-01	ES Station Gas	3.977114205	Multiply					
ES Hydro Price l40 p2			Value	2010-01-01	2100-01-01	ES Station Gas	4.619971348	Multiply					
ES Hydro Price l40 p3			Value	2010-01-01	2100-01-01	ES Station Gas	5.76282849	Multiply					
ES Hydro Price l40 p4			Value	2010-01-01	2100-01-01	ES Station Gas	7.548542776	Multiply					
ES Hydro Price l40 p5			Value	2010-01-01	2100-01-01	ES Station Gas	10.11997135	Multiply					
ES Hydro Price l50 p1			Value	2010-01-01	2100-01-01	ES Station Gas	3.430019087	Multiply					
ES Hydro Price l50 p2			Value	2010-01-01	2100-01-01	ES Station Gas	4.072876229	Multiply					
ES Hydro Price l50 p3			Value	2010-01-01	2100-01-01	ES Station Gas	5.215733372	Multiply					
ES Hydro Price l50 p4			Value	2010-01-01	2100-01-01	ES Station Gas	7.001447658	Multiply					
ES Hydro Price l50 p5			Value	2010-01-01	2100-01-01	ES Station Gas	9.572876229	Multiply					
ES Hydro Price l60 p1			Value	2010-01-01	2100-01-01	ES Station Gas	2.771963173	Multiply					
ES Hydro Price l60 p2			Value	2010-01-01	2100-01-01	ES Station Gas	3.414820315	Multiply					
ES Hydro Price l60 p3			Value	2010-01-01	2100-01-01	ES Station Gas	4.557677458	Multiply					
ES Hydro Price l60 p4			Value	2010-01-01	2100-01-01	ES Station Gas	6.343391744	Multiply					
ES Hydro Price l60 p5			Value	2010-01-01	2100-01-01	ES Station Gas	8.914820315	Multiply					
ES Hydro Price l70 p1			Value	2010-01-01	2100-01-01	ES Station Gas	2.004562923	Multiply					
ES Hydro Price l70 p2			Value	2010-01-01	2100-01-01	ES Station Gas	2.647420066	Multiply					
ES Hydro Price l70 p3			Value	2010-01-01	2100-01-01	ES Station Gas	3.790277208	Multiply					
ES Hydro Price l70 p4			Value	2010-01-01	2100-01-01	ES Station Gas	5.575991494	Multiply					
ES Hydro Price l70 p5			Value	2010-01-01	2100-01-01	ES Station Gas	8.147420066	Multiply					
ES Hydro Price l80 p1			Value	2010-01-01	2100-01-01	ES Station Gas	1.129164286	Multiply					
ES Hydro Price l80 p2			Value	2010-01-01	2100-01-01	ES Station Gas	1.772021429	Multiply					
ES Hydro Price l80 p3			Value	2010-01-01	2100-01-01	ES Station Gas	2.914878572	Multiply					
ES Hydro Price l80 p4			Value	2010-01-01	2100-01-01	ES Station Gas	4.700592858	Multiply					
ES Hydro Price l80 p5			Value	2010-01-01	2100-01-01	ES Station Gas	7.272021429	Multiply					
ES Hydro Price l90 p1			Value	2010-01-01	2100-01-01	ES Station Gas	0.146918525	Multiply					
ES Hydro Price l90 p2			Value	2010-01-01	2100-01-01	ES Station Gas	0.789775668	Multiply					
ES Hydro Price l90 p3			Value	2010-01-01	2100-01-01	ES Station Gas	1.932632811	Multiply					
ES Hydro Price l90 p4			Value	2010-01-01	2100-01-01	ES Station Gas	3.718347096	Multiply					
ES Hydro Price l90 p5			Value	2010-01-01	2100-01-01	ES Station Gas	6.289775668	Multiply					
ES Hydro Price l100 p1			Value	2010-01-01	2100-01-01	ES Station Gas	0.021428571	Multiply					
ES Hydro Price l100 p2			Value	2010-01-01	2100-01-01	ES Station Gas	0.021428571	Multiply					
ES Hydro Price l100 p3			Value	2010-01-01	2100-01-01	ES Station Gas	0.021428571	Multiply					
ES Hydro Price l100 p4			Value	2010-01-01	2100-01-01	ES Station Gas	0.021428571	Multiply					
ES Hydro Price l100 p5			Value	2010-01-01	2100-01-01	ES Station Gas	0.021428571	Multiply					
