Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
ES ES_PP_ALDEADAVILA II			gross_capacity	2010-01-01	2100-01-01	429.7	0.65	Multiply					
ES ES_PP_ALDEADAVILA II			conversion_rate	2010-01-01	2100-01-01	1	2.5	Multiply					
ES ES_PP_ALDEADAVILA II			save_data	2010-01-01	2100-01-01	1							
ES ES_PP_ALDEADAVILA II			save_blocks	2010-01-01	2100-01-01	1							
ES ES_PP_ALDEADAVILA II			offer_volume_percent	2010-01-01	2100-01-01	20					1		
ES ES_PP_ALDEADAVILA II			offer_price	2010-01-01	2100-01-01	ES Hydro Price l10 p1	 .6367205	Add			1		
ES ES_PP_ALDEADAVILA II			offer_volume_storage_level_percent	2010-01-01	2100-01-01	10					1		
ES ES_PP_ALDEADAVILA II			offer_volume_percent	2010-01-01	2100-01-01	20					2		
ES ES_PP_ALDEADAVILA II			offer_price	2010-01-01	2100-01-01	ES Hydro Price l10 p2	 .5442264	Add			2		
ES ES_PP_ALDEADAVILA II			offer_volume_storage_level_percent	2010-01-01	2100-01-01	10					2		
ES ES_PP_ALDEADAVILA II			offer_volume_percent	2010-01-01	2100-01-01	20					3		
ES ES_PP_ALDEADAVILA II			offer_price	2010-01-01	2100-01-01	ES Hydro Price l10 p3	 .7591476	Add			3		
ES ES_PP_ALDEADAVILA II			offer_volume_storage_level_percent	2010-01-01	2100-01-01	10					3		
ES ES_PP_ALDEADAVILA II			offer_volume_percent	2010-01-01	2100-01-01	20					4		
ES ES_PP_ALDEADAVILA II			offer_price	2010-01-01	2100-01-01	ES Hydro Price l10 p4	 .2395672	Add			4		
ES ES_PP_ALDEADAVILA II			offer_volume_storage_level_percent	2010-01-01	2100-01-01	10					4		
ES ES_PP_ALDEADAVILA II			offer_volume_percent	2010-01-01	2100-01-01	20					5		
