Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
ES RWE Siglos			Capacity	2007-01-01	2037-01-01	20							
ES RWE Siglos			Variable Cost	2010-01-01	2100-01-01	1.981							
ES RWE Siglos			Save Data	2010-01-01	2100-01-01	1							
ES RWE Siglos			Save Blocks	2010-01-01	2100-01-01	0							
ES RWE Siglos			Bid Up Price	2007-01-01	2027-01-01	-15							
ES RWE Siglos			Bid Up Price	2027-01-01	2100-01-01	0							
ES RWE Siglos			Capacity Rating Factor	2010-01-01	2100-01-01	ES Onshore 190 37.0 -3.125 Base Wind Speed	NWST Wind Power Curve	Lookup					
ES RWE Bancal			Capacity	2007-01-01	2037-01-01	20							
ES RWE Bancal			Variable Cost	2010-01-01	2100-01-01	1.801							
ES RWE Bancal			Save Data	2010-01-01	2100-01-01	1							
ES RWE Bancal			Save Blocks	2010-01-01	2100-01-01	0							
ES RWE Bancal			Bid Up Price	2007-01-01	2027-01-01	-15							
ES RWE Bancal			Bid Up Price	2027-01-01	2100-01-01	0							
ES RWE Bancal			Capacity Rating Factor	2010-01-01	2100-01-01	ES Onshore 190 37.0 -3.125 Base Wind Speed	NWST Wind Power Curve	Lookup					
ES RWE Lanternoso			Capacity	2005-01-01	2035-01-01	24							
ES RWE Lanternoso			Variable Cost	2010-01-01	2100-01-01	1.848							
ES RWE Lanternoso			Save Data	2010-01-01	2100-01-01	1							
ES RWE Lanternoso			Save Blocks	2010-01-01	2100-01-01	0							
ES RWE Lanternoso			Bid Up Price	2005-01-01	2025-01-01	-15							
ES RWE Lanternoso			Bid Up Price	2025-01-01	2100-01-01	0							
ES RWE Lanternoso			Capacity Rating Factor	2010-01-01	2100-01-01	ES Onshore 547 39.0 -2.5 Base Wind Speed	NWST Wind Power Curve	Lookup					
ES RWE Urano			Capacity	2004-01-01	2034-01-01	30.4							
ES RWE Urano			Variable Cost	2010-01-01	2100-01-01	2.078							
ES RWE Urano			Save Data	2010-01-01	2100-01-01	1							
ES RWE Urano			Save Blocks	2010-01-01	2100-01-01	0							
ES RWE Urano			Bid Up Price	2004-01-01	2024-01-01	-15							
ES RWE Urano			Bid Up Price	2024-01-01	2100-01-01	0							
ES RWE Urano			Capacity Rating Factor	2010-01-01	2100-01-01	ES Onshore 1082 42.0 -1.875 55M Windspeed	NWST Wind Power Curve	Lookup					
ES RWE Aldehuelas			Capacity	2005-01-01	2035-01-01	47.2							
ES RWE Aldehuelas			Variable Cost	2010-01-01	2100-01-01	2.461							
ES RWE Aldehuelas			Save Data	2010-01-01	2100-01-01	1							
ES RWE Aldehuelas			Save Blocks	2010-01-01	2100-01-01	0							
ES RWE Aldehuelas			Bid Up Price	2005-01-01	2025-01-01	-15							
