Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
ES Offshore 100 36.5 -3.75 100M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 100 36.5 -3.75 100M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 100 36.5 -3.75 100M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 100 36.5 -3.75 130M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 100 36.5 -3.75 130M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 100 36.5 -3.75 130M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 100 36.5 -3.75 160M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 100 36.5 -3.75 160M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 100 36.5 -3.75 160M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1002 41.5 3.75 100M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1002 41.5 3.75 100M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1002 41.5 3.75 100M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1002 41.5 3.75 130M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1002 41.5 3.75 130M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1002 41.5 3.75 130M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1002 41.5 3.75 160M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1002 41.5 3.75 160M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1002 41.5 3.75 160M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1180 42.5 3.75 100M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1180 42.5 3.75 100M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1180 42.5 3.75 100M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1180 42.5 3.75 130M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1180 42.5 3.75 130M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1180 42.5 3.75 130M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1180 42.5 3.75 160M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1180 42.5 3.75 160M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1180 42.5 3.75 160M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1429 44.0 -7.5 100M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1429 44.0 -7.5 100M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1429 44.0 -7.5 100M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1429 44.0 -7.5 130M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1429 44.0 -7.5 130M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1429 44.0 -7.5 130M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1429 44.0 -7.5 160M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1429 44.0 -7.5 160M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1429 44.0 -7.5 160M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1434 44.0 -4.375 100M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1434 44.0 -4.375 100M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1434 44.0 -4.375 100M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1434 44.0 -4.375 130M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1434 44.0 -4.375 130M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1434 44.0 -4.375 130M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1434 44.0 -4.375 160M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1434 44.0 -4.375 160M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1434 44.0 -4.375 160M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1516 44.5 -8.75 100M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1516 44.5 -8.75 100M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1516 44.5 -8.75 100M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1516 44.5 -8.75 130M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1516 44.5 -8.75 130M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1516 44.5 -8.75 130M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1516 44.5 -8.75 160M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1516 44.5 -8.75 160M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 1516 44.5 -8.75 160M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
ES Offshore 193 37.0 -1.25 100M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
