Object_Name	Parent_Object
ES H2_North	ES
ES ES_RES_ALDEADAVILA II	ES
ES ES_RES_CONSO	ES
ES ES_RES_GABRIEL Y GALAN	ES
ES ES_RES_GUIJO DE GRANADILLA	ES
ES ES_RES_IP	ES
ES ES_RES_MONTAMARA	ES
ES ES_RES_PUENTE BIBEY	ES
ES ES_RES_Reservoir_Duero	ES
ES ES_RES_Reservoir_Ebro	ES
ES ES_RES_Reservoir_GuadalquivirSur	ES
ES ES_RES_Reservoir_Guadiana	ES
ES ES_RES_Reservoir_Norte	ES
ES ES_RES_Reservoir_TajoJucarSegura	ES
ES ES_RES_SOUTELO	ES
ES ES_RES_TANES	ES
ES ES_RES_TORREJON	ES
ES ES_RES_VILLARINO	ES
